"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"109 RV PARK & CAMPGROUND","","","","28","Ground water","PO BOX 89
COPALIS BEACH, WA 98535","","","Grays Harbor"
"141ST AVE KPN -661","","","","48","Ground water","1230 Ruddell Rd SE
Lacey, WA 98503","","","Pierce"
"164TH ST ARTESIAN WELL","","","","35","Ground water","11030 78th Ave NE
Marysville, WA 98271","","","Snohomish"
"59ER DINER","","","","134","Ground water","15361 Hwy 2
Leavenworth, WA 98826","","","Chelan"
"60TH STREET WATER WORKS","","","","35","Surface water purchased","10124 60TH ST SE
SNOHOMISH, WA 98290","","","Snohomish"
"79th Ave Community Water Assoc","","","","128","Ground water","5706 160th Ave E #7
Puyallup, WA 98375","","","Pierce"
"85 Acres","","","","55","Ground water","7511 Greenwood Ave N, Unit #4011
Seattle, WA 98103-4627","","","King"
"97 Rock House WS","","","","254","Ground water","3003 US Hwy 97
Peshastin, WA 98847","","","Chelan"
"ABERDEEN CITY OF","","","","17,958","Surface water","200 E MARKET ST
ABERDEEN, WA 98520","","","Grays Harbor"
"ABERNATHY ASSEMBLY OF GOD","","","","25","Ground water","702 ABERNATHY CREEK RD
LONGVIEW, WA 98632","","","Cowlitz"
"ABERNATHY FTC","","","","30","Ground water","1440 Abernathy Creek Rd.
Longview, WA 98632","","","Cowlitz"
"ACME WATER DISTRICT NO 18","","","","568","Ground water","PO Box 13
Acme, WA 98220","","","Whatcom"
"ADAMS COUNTY FAIR","","","","503","Ground water","210 West Alder
Ritzville, WA 99169","","","Adams"
"ADAMS COUNTY WATER DIST #1","","","","870","Ground water purchased","124 S Broadway
Othello, WA 99344","","","Adams"
"ADAMS FORK #5 HP","","","","34","Ground water","10024 US Highway 12
Randle, WA 98377","","","Skamania"
"ADAMS FORK 3 HP","","","","67","Ground water","10024 US Highway 12
Randle, WA 98377","","","Skamania"
"ADAMS RD COMMUNITY ASSN","","","","39","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"ADMIRAL WATER USERS ASSN","","","","74","Ground water","PO Box 1334
Moses Lake, WA 98837","","","Grant"
"AENEAS GENERAL STORE","","","","30","Ground water","1165 Aeneas Valley Rd
Tonasket, WA 98855","","","Okanogan"
"AFC RANCH 1","","","","217","Ground water","329 Pine View Drive
Orondo, WA 98843","","","Douglas"
"AFC RANCH 2","","","","125","Ground water","329 Pine View Drive
Orondo, WA 98843","","","Kittitas"
"AFC RANCH 5","","","","40","Ground water","329 Pine View Drive
Orondo, WA 98843","","","Douglas"
"AGATE BAY TRAILER PARK","","","","40","Ground water","2217 Queen St
Bellingham, WA 98229","","","Whatcom"
"AGATE BEACH","","","","40","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"AGATE GROCERY","","","","56","Ground water","3841 E AGATE RD
SHELTON, WA 98584","","","Mason"
