"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"10TH HOLE BAR & GRILL","","","","25","Ground water","7768 CTY RD U
Danbury, WI 54830","","DANBURY","Burnett"
"1175 SPORTSPARK & EATERY","","","","33","Ground water","5616 EAGLE POINT DRIVE
RACINE, WI 53406","","KANSASVILLE","Racine"
"12 MILE CONVENIENCE STORE","","","","25","Ground water","PO Box 98
Sheldon, WI 54766","","HOLCOMBE","Rusk"
"13000 W BLUEMOUND BUILDING","","","","25","Ground water","C/O MIDWEST MANAGEMENT II
13435 S MCCALL RD UNIT 16, 348
PORT CHARLOTTE, FL 33981","","ELM GROVE","Waukesha"
"141 SPEEDWAY BAR","","","","25","Ground water","N7223 CTY RD AB
LUXEMBURG, WI 54217","","MARIBEL","Manitowoc"
"141 SPEEDWAY BATHROOMS","","","","25","Ground water","DAN RATAJCZAK
N7223 CTY RD AB
LUXEMBURG, WI 54217","","MARIBEL","Manitowoc"
"163 S MAIN ST PROPERTIES","","","","170","Ground water","161 S MAIN ST
THIENSVILLE, WI 53092","","THIENSVILLE","Ozaukee"
"20/20 VISIONS","","","","60","Ground water","100 CARR ROAD
PLYMOUTH, WI 53073-9500","","PLYMOUTH","Sheboygan"
"21 & 13 CAFE","","","","25","Ground water","1150 STH 21
FRIENDSHIP, WI 53934","","FRIENDSHIP","Adams"
"21 GUN ROAD HOUSE","","","","25","Ground water","4344 LIME KILN RD
GREEN BAY, WI 54311","","GREEN BAY","Brown"
"2FERS GAME TIME RETREAT","","","","107","Ground water","UNKNOWN
PO BOX 284
EDEB, WI 53019","","EDEN","Fond du Lac"
"2YK LLC","","","","30","Ground water","240654 CO RD HH
ANTIGO, WI 54409","","ANTIGO","Marathon"
"3 SHEETS TO WINNEBAGO","","","","154","Ground water","W4908 GOLF COURSE DR
FOND DU LAC, WI 54935","","FOND DU LAC","Fond du Lac"
"337-9 HOLY HILL APARTMENTS LLC","","","","30","Ground water","1740 LAKE VIEW TERRACE
LIBERTYVILLE, IL 60048","","TWIN LAKES","Kenosha"
"3BS LITTLE SUMMIT","","","","45","Ground water","E4686 JAY CT
LAVALLE, WI 53941","","MAUSTON","Juneau"
"3C COFFEE CUP CAFE","","","","50","Ground water","PO BOX 33
SAINT GERMAIN, WI 54558","","SAINT GERMAIN","Vilas"
"3M CO GREYSTONE PLANT","","","","52","Ground water","144 ROSECRANS ST
WAUSAU, WI 54401","","WAUSAU","Marathon"
"4 CORNERS STORE","","","","25","Ground water","6383 S COUNTY ROAD A
SUPERIOR, WI 54880","","SUPERIOR","Douglas"
"4 POLE JOES","","","","30","Ground water","423 CTH B
PELICAN LAKE, WI 54463","","PELICAN LAKE","Oneida"
"4 SEASONS FAMILY DINER","","","","25","Ground water","18239 NORTH RD
LAKEWOOD, WI 54138","","LAKEWOOD","Oconto"
"41/141 DINO STOP","","","","50","Ground water","514 Randall Ave
DePere, WI 54115","","LITTLE SUAMICO TN","Oconto"
"4246 MARATHON PLAZA","","","","50","Ground water","9653 GRANVILLE RD
PO BOX 369
MEQUON, WI 53097","","FRANCIS CREEK","Manitowoc"
"425 HOLY HILL APTS","","","","28","Ground water","36110 GENEVA ROAD
Burlington, WI 53105","","TWIN LAKES","Kenosha"
"4EVER FIT LLC","","","","25","Ground water","1898 20 1/2 AVE
RICE LAKE, WI 54868","","RICE LAKE","Barron"
"4H CAMP SUSAN","","","","50","Ground water","UW EXTENSION
837 CLAREMONT STREET
Antigo, WI 54409","","DEERBROOK","Langlade"
"5 OCLOCK CLUB","","","","25","Ground water","2639 7TH ST
CUMBERLAND, WI 54829","","CUMBERLAND","Barron"
"500 W BROWN DEER RD","","","","70","Ground water","C/O SCOTT YAUCK
207 N MILWAUKEE ST
MILWAUKEE, WI 53202","","BAYSIDE","Milwaukee"
"52ND AVE WATER GROUP","","","","35","Ground water","1210 52nd Ave
Kenosha, WI 53144","","KENOSHA","Kenosha"
