"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"57 BP","","","","25","Ground water","4127 CHAMPION RD
GREEN BAY, WI 54313","","GREEN BAY","Brown"
"59ERS DRIVING RANGE","","","","38","Ground water","350 LAKESHORE DR
EDGERTON, WI 53534","","MILTON","Rock"
"6TH GEAR","","","","63","Ground water","W7771 HWY 33
BEAVER DAM, WI 53916","","BEAVER DAM","Dodge"
"7-ELEVEN INC","","","","45","Ground water","10505 CORPORATE DR STE 101
PLEASANT PRAIRIE, WI 53158-1605","","KENOSHA","Kenosha"
"7-ELEVEN INC.","","","","55","Ground water","10505 CORPORATE DR STE 101
PLEASANT PRAIRIE, WI 53158-1605","","PEWAUKEE","Waukesha"
"7-Eleven 35845","","","","103","Ground water","PO BOX 219088
DALLAS, TX 75221","","OCONOMOWOC","Waukesha"
"75TH STREET INN","","","","50","Ground water","26229 75TH STREET
SALEM, WI 53168-9530","","SALEM","Kenosha"
"8 HI CLUB BAR","","","","50","Ground water","W14681 USH 8
GOODMAN, WI 54125","","GOODMAN TN","Marinette"
"A & E TAVERN","","","","25","Ground water","W10011 E BURMA AVE
OWEN, WI 54460","","MEDFORD","Taylor"
"A & H SENIOR CITIZEN CENTER","","","","300","Ground water","28315 CO RD H
WEBSTER, WI 54893","","WEBSTER","Burnett"
"A & W FOOD STAND","","","","110","Ground water","N5183 17TH DR
WILD ROSE, WI 54984","","WILD ROSE","Waushara"
"A & W FRANKSVILLE","","","","100","Ground water","13520 NORTHWESTERN AVE
FRANKSVILLE, WI 53126","","FRANKSVILLE","Racine"
"A & W RESTAURANT","","","","25","Ground water","3107 DEVROY LN
GREEN BAY, WI 54313","","STILES","Oconto"
"A C TAP TAVERN","","","","53","Ground water","9322 STH 57
Baileys Harbor, WI 54202","","BAILEYS HARBOR","Door"
"A&E LAUNDRY","","","","25","Ground water","1377 WEST POINT RD.
SPOONER, WI 54801","","WEBSTER","Burnett"
"AAA SPORTS","","","","30","Ground water","N5765 BEAR PATH LN.
SPOONER, WI 54801","","SPOONER","Washburn"
"AB & F, LLC","","","","88","Ground water","N5560 CNTY ZM
ONALASKA, WI 54650","","ONALASKA","La Crosse"
"ABARES OUTERLIMITS","","","","25","Ground water","9850 COUNTY ROAD Y
MARSHFIELD, WI 54449","","MARSHFIELD","Wood"
"ABBOTSFORD CHRISTIAN ACADEMY","","","","130","Ground water","PASTOR/PRINCIPAL BRUCE JAHNKE
228936 CEMETARY AVE
Abbotsford, WI 54405","","ABBOTSFORD","Marathon"
"ABBOTSFORD WATERWORKS","","","","1,956","Ground water","PO BOX 589
203 N FIRST ST
ABBOTSFORD, WI 54405","","ABBOTSFORD","Marathon"
"ABERDEEN LODGE","","","","75","Ground water","P.O. BOX 230
MANITOWISH WATERS, WI 54545","","MANITOWISH WATERS","Vilas"
"ABLERS WHISKEY CORNER","","","","27","Ground water","W220 N6410 TOWNLINE RD
MENOMONEE FALLS, WI 53051","","MENOMONEE FALLS","Waukesha"
"ABRAHAMSON NURSERIES","","","","25","Ground water","1257 STATE HIGHWAY 35
ST CROIX FALLS, WI 54024","","ST CROIX FALLS","Polk"
"ABRAMS DINO STOP","","","","25","Ground water","514 Randall Ave
DePere, WI 54115","","ABRAMS TN","Oconto"
"ABRAMS ELEMENTARY SCHOOL","","","","400","Ground water","OCONTO FALL SCHOOL DISTRICT
200 FARM ROAD
OCONTO FALLS, WI 54154","","ABRAMS","Oconto"
"ABUNDANT LIFE APOSTOLIC CHURCH & CHRISTIAN CHILD CARE","","","","340","Ground water","995 S SAWYER ROAD
OCONOMOWOC, WI 53066","","OCONOMOWOC","Waukesha"
"ABUNDANT LIFE ASSEMBLY OF GOD CHURCH","","","","150","Ground water","W8857 PHOTO ROAD
LADYSMITH, WI 54848","","LADYSMITH","Rusk"
"ABUNDANT LIFE CHURCH","","","","110","Ground water","896 HWY 65
P O Box 335
River Falls, WI 54022-0335","","RIVER FALLS","St. Croix"
"ABUNDANT LIFE CHURCH & ACADEMY","","","","25","Ground water","1851 13 1/2 Ave
Cameron, WI 54822","","CAMERON","Barron"
"ABUNDANT LIFE TABERNACLE","","","","25","Ground water","3320 GRIFFITH AVE
Wisconsin Rapids, WI 54494","","WISCONSIN RAPIDS","Wood"
"ACE HARDWARE - MEQUON","","","","31","Ground water","11001 N PORT WASHINGTON RD
MEQUON, WI 53092-5932","","MEQUON","Ozaukee"
"ACKERMANS GROVE COUNTY PARK","","","","25","Ground water","333 E WASHINGTON ST SUITE 2300
PO 2003
West Bend, WI 53095","","WEST BEND","Washington"
"ACORN LODGE","","","","35","Ground water","P.O. BOX 928
BOULDER JUNCTION, WI 54512","","BOULDER JCT","Vilas"
"ACORN RIDGE MOTEL","","","","27","Ground water","W3910 STH 23/73
Princeton, WI 54968","","PRINCETON","Green Lake"
"ACRES FOR RECREATION CLUBHOUSE","","","","25","Ground water","430 S MAIN ST
SHAWANO, WI 54166","","SHAWANO","Shawano"
"ADAMS ACRES KAMPLAND","","","","25","Ground water","5662 169TH STREET
CHIPPEWA FALLS, WI 54729","","CORNELL","Chippewa"
"ADAMS CABINS","","","","30","Ground water","1505 HWY 32
THREE LAKES, WI 54562","","THREE LAKES","Oneida"
"ADAMS INN","","","","26","Ground water","2188 STATE HIGHWAY 13
ADAMS, WI 53910","","ADAMS","Adams"
"ADAMS LUTHERAN CHURCH","","","","260","Ground water","N7148 CTY A
ARGYLE, WI 53504","","ARGYLE","Green"
"ADAMS WATERWORKS","","","","1,847","Ground water","PO BOX 1009
Adams, WI 53910-1009","","ADAMS","Adams"
"ADDISON ELEMENTARY SCHOOL","","","","515","Ground water","207 POLK STREET
SLINGER, WI 53086","","HARTFORD","Washington"
"ADDISON STATION - MOBIL AND DINING DEPOT","","","","25","Ground water","ADDISON STATION-CITGO & DINING
5022 ADDISON ROAD
HARTFORD, WI 53027","","HARTFORD","Washington"
"ADELANTE","","","","25","Ground water","JOHN SHEFFY, OWNER
8762 3RD ST
ALMOND, WI 54909","","ALMOND","Portage"
"ADELL WATERWORKS","","","","519","Ground water","508 SEIFERT STREET
ADELL, WI 53001","","ADELL","Sheboygan"
"ADMIRAL BASEBALL & SPORTS ACADEMY LLC","","","","25","Ground water","N7137 E PLAZA DR
BEAVER DAM, WI 53916","","BEAVER DAM","Dodge"
"ADS BELOIT TRANSFER STATION","","","","60","Ground water","UNKNOWN
2301 WEST B-R TOWNLINE RD
BELOIT, WI 53511","","BELOIT","Rock"
"ADS KAUKAUNA HAULING CO","","","","30","Ground water","MR TIMOTHY MUELLER - GEN MGR
N2061 VANDENBROEK RD
KAUKAUNA, WI 54130","","KAUKAUNA","Outagamie"
"ADVANCED DISPOSAL GLACIER RIDGE LANDFILL- OFFICE","","","","81","Ground water","N7296 HWY V
HORICON, WI 53032","","HORICON","Dodge"
"ADVANCED MANUFACTURING TECH CTR","","","","150","Ground water","1825 N BLUEMOUND DR
PO BOX 2277
APPLETON, WI 54912","","OSHKOSH","Winnebago"
"ADVANCED MANUFACTURING TECHNOLOGIES INC","","","","55","Ground water","1100 FALLS RD
GRAFTON, WI 53024","","GRAFTON","Ozaukee"
"ADVENTURE RESORT","","","","50","Ground water","W7861 SHADY LN
LADYSMITH, WI 54848","","TONY","Rusk"
"ADVENTURES CHILD CARE INC","","","","45","Ground water","1645 TEE OFF LN
BRUSSELS, WI 54204","","BRUSSELS","Door"
"ADVOCAP INC HEADSTART","","","","75","Ground water","PO BOX 1108
FOND DU LAC, WI 54935-1108","","MARKESAN","Green Lake"
"ADVOCATE AURORA HEALTH CARE","","","","119","Ground water","6425 WEST MEQUON ROAD
MEQUON, WI 53097","","MEQUON","Ozaukee"
"AFTERGLOW LAKE RESORT","","","","25","Ground water","PO BOX 96
PHELPS, WI 54554","","PHELPS","Vilas"
"AGAPE METHODIST MINISTRIES","","","","124","Ground water","3100 S STIGLER ROAD
NEW BERLIN, WI 53151","","NEW BERLIN","Waukesha"
"AGROPUR INC WELL 3 & 4","","","","138","Ground water","AGROPUR INC
3500 E DESTINATION DR
APPLETON, WI 54915","","LUXEMBURG","Kewaunee"
"AHNAPEE SHORES CAMPING RESORT","","","","25","Ground water","E6053 W WILSON RD
ALGOMA, WI 54201","","ALGOMA","Kewaunee"
"AIRPORT INN","","","","25","Ground water","50964 S. HWY 13
ASHLAND, WI 54806","","ASHLAND","Ashland"
"AIRPRO","","","","30","Ground water","4858 HWY 17 N
P.O. BOX 543
RHINELANDER, WI 54501","","RHINELANDER","Oneida"
"AJ'S BAR & GRILL","","","","25","Ground water","UNKNOWN
28 4TH ST
FOND DU LAC, WI 54935","","FOND DU LAC","Fond du Lac"
"AJS BAR AND GRILL","","","","55","Ground water","505 COPPERFIELD DRIVE
DELAFIELD, WI 53018-1154","","HALES CORNERS","Waukesha"
"AJS SPORTS BAR","","","","25","Ground water","N8956 CURVE INN ROAD
TOMAHAWK, WI 54487","","TOMAHAWK","Lincoln"
"AKORN INN","","","","25","Ground water","1844 STH 13
Friendship, WI 53934","","FRIENDSHIP","Adams"
"AKZO NOBEL SPORTS COMPLEX","","","","25","Ground water","VILLAGE OF HOWARD
1336 CORNELL RD
Green Bay, WI 54313","","GREEN BAY","Brown"
"AL & KELLYS NEWTON LAKE INN","","","","25","Ground water","N10503 NEWTON LAKE RD
ALTHELSTANE, WI 54104","","STEPHENSON TN","Marinette"
"AL GEN DINNER CLUB","","","","50","Ground water","3428 FAUST LAKE RD
RHINELANDER, WI 54501","","RHINELANDER","Oneida"
"AL TACO BAR AND GRILL","","","","25","Ground water","9987 S STATE ROAD 35
FOXBORO, WI 54836","","FOXBORO","Douglas"
"ALAN TOMCZAK PARK","","","","25","Ground water","201 W MAIN ST
ASHLAND, WI 54086","","ASHLAND","Ashland"
"ALANA SPRINGS CMPGD","","","","42","Ground water","22628 COVERED BRIDGE RD
RICHLAND CENTER, WI 53581","","RICHLAND CENTER","Richland"
"ALASKAN GOLF CLUB","","","","50","Ground water","N6092 HWY 42
Kewaunee, WI 54216","","KEWAUNEE","Kewaunee"
"ALBANY WATERWORKS","","","","1,018","Ground water","206 N WATER ST
ALBANY, WI 53502-0342","","ALBANY","Green"
"ALBATROSS DRIVE IN","","","","85","Ground water","777 MAIN RD
Washington Island, WI 54246","","WASHINGTON  ISLAND","Door"
"ALBERTA SUBDIVISION","","","","75","Ground water","310 CRESCENT LANE
THIENSVILLE, WI 53092","","THIENSVILLE","Ozaukee"
"ALBERTVILLE TAVERN","","","","200","Ground water","8114 35TH ST
COLFAX, WI 54730","","COLFAX","Chippewa"
"ALBURN BAR AND GRILL","","","","30","Ground water","7439 BOWE RD
EAU CLAIRE, WI 54701","","NEW AUBURN","Chippewa"
"ALDO LEOPOLD LEGACY CENTER","","","","37","Ground water","E13701 LEVEE RD
PO BOX 77
BARABOO, WI 53913","","BARABOO","Sauk"
"ALDRICH CHEMICAL CO","","","","380","Ground water","5485 COUNTY ROAD V
SHEBOYGAN FALLS, WI 53085","","SHEBOYGAN FALLS","Sheboygan"
"ALEXANDERS","","","","72","Ground water","UNKNOWN
PO BOX 622
FISH CREEK, WI 54212","","FISH CREEK","Door"
"ALGOMA TN SANITARY DIST 1","","","","2,000","Ground water","3477 MILLER DR
OSHKOSH, WI 54904","","OSHKOSH","Winnebago"
"ALGOMA WATERWORKS","","","","3,022","Ground water","ALGOMA UTILITIES
1407 FLORA AVE
ALGOMA, WI 54201","","ALGOMA","Kewaunee"
"ALIBI","","","","27","Ground water","1307 SCENIC DR
KEWASKUM, WI 53040","","KEWASKUM","Washington"
"ALIBI DOCK MARINA","","","","51","Ground water","2550 WAUKEGAN RD  STE 220
GLENVIEW, IL 60025","","FISH CREEK","Door"
"ALL SAINTS CATHOLIC PARISH","","","","25","Ground water","N8566 STH 49
PO BOX 269
BERLIN, WI 54923","","BERLIN","Green Lake"
"ALL SAINTS LUTHERAN CHURCH ELCA","","","","27","Ground water","705 W TOMLIN ROAD
PO BOX 189
WALES, WI 53183-0189","","WALES","Waukesha"
"ALL STAR LANES","","","","100","Ground water","4735 MORMON COULEE RD
LA CROSSE, WI 54601-8227","","LA CROSSE","La Crosse"
"ALL STOP PLAZA","","","","718","Ground water","N1551 SUNSET DR
LODI, WI 53555","","LODI","Columbia"
"ALL WORLD FORD","","","","60","Ground water","2612 COUNTY ROAD EE
PO BOX 80
ABRAMS, WI 54101","","HORTONVILLE","Outagamie"
"ALLELUIA LUTHERAN CH","","","","25","Ground water","6725 ELMRO RD
GREENLEAF, WI 54126","","GREENLEAF","Brown"
"ALLEN ESTATES LLC","","","","75","Ground water","7245 S. 76TH STREET, UNIT 132
FRANKLIN, WI 53132","","PULASKI","Oconto"
"ALLENTON SANITARY DISTRICT","","","","860","Ground water","127 First Street
P.O. Box 481
Allenton, WI 53002","","ALLENTON","Washington"
"ALLIANCE BIBLE CHURCH","","","","457","Ground water","13939 CEDARBURG RD
MEQUON, WI 53092","","MEQUON","Ozaukee"
"ALLIANCE CHURCH OF THE VALLEY","","","","25","Ground water","1259 STATE RD 35
St Croix Falls, WI 54024","","ST CROIX FALLS","Polk"
"ALLIANCE INDUSTRIES WAUPACA PLT","","","","70","Ground water","N2467 VAUGHAN RD
Waupaca, WI 54981","","WAUPACA","Waupaca"
"ALLIANT ENERGY & WP&L CO MAINTENANCE","","","","180","Ground water","4902 N BILTMORE LN, STE 1000
MADISON, WI 53718","","BELOIT","Rock"
"ALLIANT-COLUMBIA ENERGY CENTER","","","","195","Ground water","W8375 MURRAY RD
PARDEEVILLE, WI 53954","","PARDEEVILLE","Columbia"
"ALLIED 100 LLC","","","","28","Ground water","1800 USH 51
WOODRUFF, WI 54568","","WOODRUFF","Vilas"
"ALLIED PLASTICS INC","","","","80","Ground water","P O BOX 1010
150 HOLY HILL ROAD
TWIN LAKES, WI 53181","","TWIN LAKES","Kenosha"
"ALLOUEZ WATERWORKS","","","","13,932","Surface water purchased","VILLAGE OF ALLOUEZ
1900 LIBAL ST
GREEN BAY, WI 54301","","GREEN BAY","Brown"
"ALLSTATE PETERBILT GROUP","","","","55","Ground water","500 FORD RD
ST LOUIS PARK, MN 55426","","EAU CLAIRE","Eau Claire"
"ALMA CENTER WATERWORKS","","","","509","Ground water","200 N Church ST
PO BOX 96
Alma Center, WI 54611-0096","","ALMA CENTER","Jackson"
"ALMA MARINA","","","","30","Ground water","314 N Main St
PO Box 277
Alma, WI 54610-0277","","ALMA","Buffalo"
"ALMA PUBLIC SCHOOL","","","","350","Ground water","S1618 STH 35
ALMA, WI 54610-8301","","ALMA","Buffalo"
"ALMA ROD & GUN CLUB","","","","25","Ground water","S1502 TELL LAKE ROAD
Alma, WI 54610-9802","","ALMA","Buffalo"
"ALMA WATERWORKS","","","","769","Ground water","314 N Main St
PO Box 277
Alma, WI 54610-0277","","ALMA","Buffalo"
"ALMENA WATERWORKS","","","","677","Ground water","VILLAGE HALL
PO BOX 277
Almena, WI 54805","","ALMENA","Barron"
"ALMOND SEVENTH DAY ADVENTIST","","","","25","Ground water","CHURCH AND ELM ST
Almond, WI 54909","","ALMOND","Portage"
"ALMOND-BANCROFT PUBLIC SCHOOLS","","","","420","Ground water","ATTN: DR BOILEAU, DIST ADM
1336 Elm Street
Almond, WI 54909-0130","","ALMOND","Portage"
"ALPHORN FORD INC","","","","45","Ground water","N2985 18TH ST
MONROE, WI 53566","","MONROE","Green"
"ALPINE RESORT - CABINS","","","","25","Ground water","7151 CRAB LAKE RD
Presque Isle, WI 54557","","PRESQUE ISLE","Vilas"
"ALPINE RESORT - MAIN LODGE","","","","25","Ground water","7151 CRAB LAKE RD
Presque Isle, WI 54557","","PRESQUE ISLE","Vilas"
"ALPINE RESORT 1","","","","50","Ground water","8535 ONEIDA LAKE ROAD
HARSHAW, WI 54529","","HARSHAW","Oneida"
"ALPINE RETREAT","","","","83","Ground water","1380 FRIESS LAKE RD
HUBERTUS, WI 53033-9751","","HUBERTUS","Washington"
"ALPINE VALLEY RESORT","","","","550","Ground water","PO BOX 615
EAST TROY, WI 53120","","ELKHORN","Walworth"
"ALSUM FARMS & PRODUCE INC DRINKING WATER SYSTEM","","","","135","Ground water","N9083 HWY EF
PO BOX 188
FRIESLAND, WI 53935","","FRIESLAND","Columbia"
"ALTA GENETICS USA - FARM #1","","","","26","Ground water","N8350 HIGH RD
PO BOX 437
WATERTOWN, WI 53094","","WATERTOWN","Jefferson"
"ALTO CHRISTIAN REFORMED CHURCH","","","","103","Ground water","N3631 CTH EE
WAUPUN, WI 53903","","ALTO","Fond du Lac"
"ALTO REFORMED CHURCH","","","","502","Ground water","N3697 CTH EE
WAUPUN, WI 53963-9411","","WAUPUN","Fond du Lac"
"ALTOONA WATERWORKS","","","","7,682","Ground water","1303 Lynn Ave
Altoona, WI 54720-0008","","ALTOONA","Eau Claire"
"AMAN'S BEER & WINE","","","","101","Ground water","26210 W LOOMIS RD
WIND LAKE, WI 53185","","WIND LAKE","Racine"
"AMANI VILLAGE SANITARY DIST","","","","100","Ground water","2372 30TH AVE KINGSWAY
OSCEOLA, WI 54020","","OSCEOLA","Polk"
"AMBASSADOR BAPTIST CHURCH","","","","200","Ground water","PASTOR CLYDE EWERS
418 N SPRING STREET
Sparta, WI 54656","","SPARTA","Monroe"
"AMBERG PUB DOWN TOWN CAFE","","","","50","Ground water","PO BOX 57
Amberg, WI 54102-0047","","AMBERG TN","Marinette"
"AMCO COUNTY PARK","","","","25","Ground water","900 PARDEE ST
Wausau, WI 54401","","ATHENS","Marathon"
"AMER BAPTIST ASSEM BEEBE COURT","","","","32","Ground water","W2511 HWY 23
GREEN LAKE, WI 54941","","GREEN LAKE","Green Lake"
"AMER BAPTIST ASSEM GOLF SNACKERY","","","","77","Ground water","W2511 HWY 23
GREEN LAKE, WI 54941","","GREEN LAKE","Green Lake"
"AMER BAPTIST ASSEM HOBLEY COTTAGE","","","","25","Ground water","W2511 HWY 23
GREEN LAKE, WI 54941","","GREEN LAKE","Green Lake"
"AMER BAPTIST ASSEM MAIN","","","","640","Ground water","W2511 HWY 23
GREEN LAKE, WI 54941","","GREEN LAKE","Green Lake"
"AMER BAPTIST ASSEM PRO SHOP/DAWSON HOUSE","","","","25","Ground water","W2511 HWY 23
GREEN LAKE, WI 54941","","GREEN LAKE","Green Lake"
"AMERAHN","","","","25","Ground water","9480 HWY 45
KEWASKUM, WI 53040-9403","","KEWASKUM","Washington"
"AMERICAN BIRKEBEINER BOEDECKER TRAILHEAD","","","","25","Ground water","ATTN: JIM SOKUP
10527 MAIN ST.
HAYWARD, WI 54843","","HAYWARD","Sawyer"
"AMERICAN BIRKEBEINER FIRE TOWER TRAILHEAD","","","","25","Ground water","ATTN: JIM SOKUP
10527 MAIN ST.
HAYWARD, WI 54843","","SEELEY","Sawyer"
"AMERICAN BIRKEBEINER GRAVEL PIT TRAILHEAD","","","","25","Ground water","ATTN: JIM SOKUP
10527 MAIN ST.
HAYWARD, WI 54843","","HAYWARD","Sawyer"
"AMERICAN BIRKEBEINER MOSQUITO BROOK TRAILHEAD","","","","25","Ground water","ATTN: JIM SOKUP
10527 MAIN ST.
HAYWARD, WI 54843","","HAYWARD","Sawyer"
"AMERICAN BIRKEBEINER OO NORDIC CENTER","","","","25","Ground water","ATTN: JIM SOKUP
10527 MAIN ST.
HAYWARD, WI 54843","","HAYWARD","Sawyer"
"AMERICAN BIRKEBEINER TIMBER TRAIL TRAILHEAD","","","","25","Ground water","ATTN: JIM SOKUP
10527 MAIN ST.
HAYWARD, WI 54843","","CABLE","Bayfield"
"AMERICAN BIRKEBEINER TRAILHEAD","","","","25","Ground water","ATTN: JIM SOKUP
10527 MAIN ST.
HAYWARD, WI 54843","","CABLE","Bayfield"
"AMERICAN CHAMPION AIRCRAFT","","","","60","Ground water","P O BOX 37
ROCHESTER, WI 53167","","ROCHESTER","Racine"
"AMERICAN LEGION CLUB POST 111","","","","60","Ground water","464 HWY 35/64
Somerset, WI 54025","","SOMERSET","St. Croix"
"AMERICAN LEGION PARK","","","","25","Ground water","ROSS BOLE
PO BOX 279
PEMBINE, WI 54156","","PEMBINE TN","Marinette"
"AMERICAN LEGION PARK - PARK RD","","","","25","Ground water","W974 430TH AVE
PLUM CITY, WI 54761","","PLUM CITY","Pierce"
"AMERICAN LEGION POST 1","","","","25","Ground water","N120 W15932 FREISTADT ROAD
GERMANTOWN, WI 53022","","GERMANTOWN","Washington"
"AMERICAN LEGION POST 196","","","","35","Ground water","1106 BAHR ROAD
DELAFIELD, WI 53018","","DELAFIELD","Waukesha"
"AMERICAN LEGION POST 293","","","","100","Ground water","307 N COGSWELL DR
Silver Lake, WI 53170","","SILVER LAKE","Kenosha"
"AMERICAN LEGION POST 351","","","","85","Ground water","W3008 HWY 23 East
PO BOX 52
Montello, WI 53949","","MONTELLO","Marquette"
"AMERICAN LEGION POST 395","","","","25","Ground water","PO BOX 202
KINGSTON, WI 53939","","KINGSTON","Green Lake"
"AMERICAN LEGION POST 396 AT INDIAN CREEK","","","","25","Ground water","3451 25TH ST
Frederic, WI 54837","","FREDERIC","Polk"
"AMERICAN LEGION POST 456","","","","25","Ground water","W12850 CTH M
PO BOX 152
CAROLINE, WI 54828","","CAROLINE","Shawano"
"AMERICAN LEGION POST 480","","","","25","Ground water","P.O.  BOX 178
PRESQUE ISLE, WI 54557","","PRESQUE ISLE","Vilas"
"AMERICAN LEGION POST 487","","","","50","Ground water","PO BOX 357
43495 TRAIL INN RD
CABLE, WI 54821","","CABLE","Bayfield"
"AMERICAN LEGION POST 544","","","","50","Ground water","989 LEGION DR
PO BOX 907
TWIN LAKES, WI 53181","","TWIN LAKES","Kenosha"
"AMERICAN LEGION/TAYLORS LIQUOR STORE","","","","25","Ground water","5331 W RIVER RD
WAUNAKEE, WI 53597","","WAUNAKEE","Dane"
"AMERICAN MOTEL","","","","27","Ground water","9335 S 27TH ST
FRANKLIN, WI 53132","","FRANKLIN","Milwaukee"
"AMERICAN PLAYERS THEATRE -ACTORS","","","","40","Ground water","PO BOX 819
Spring Green, WI 53588-0819","","SPRING GREEN","Iowa"
"AMERICAN PLAYERS THEATRE -GATEWAY","","","","821","Ground water","PO BOX 819
Spring Green, WI 53588-0819","","SPRING GREEN","Iowa"
"AMERICAN PLAYERS THEATRE -PATRON","","","","810","Ground water","PO BOX 819
Spring Green, WI 53588-0819","","SPRING GREEN","Iowa"
"AMERICAN PLAYERS THEATRE -TOUCHSTONE","","","","149","Ground water","PO BOX 819
Spring Green, WI 53588-0819","","SPRING GREEN","Iowa"
"AMERICAN TRANSMISSION COMPANY","","","","70","Ground water","W234 N2000 RIDGEVIEW PKWY CT
WAUKESHA, WI 53188","","COTTAGE GROVE","Dane"
"AMERICAS BEST VALUE INN","","","","88","Ground water","W7614 OASIS LN
LAKE MILLS, WI 53551","","LAKE MILLS","Jefferson"
"AMERICINN","","","","50","Ground water","6200 TEXACO DRIVE
EAU CLAIRE, WI 54703","","EAU CLAIRE","Eau Claire"
"AMERICOLD LOGISTICS","","","","170","Ground water","W8876 COUNTY HWY X
DARIEN, WI 53114","","DARIEN","Walworth"
"AMERY AIRPORT","","","","25","Ground water","118 CENTER STREET W
AMERY, WI 54001","","AMERY","Polk"
"AMERY ALE WORKS","","","","25","Ground water","588 115TH STREET
AMERY, WI 54001","","AMERY","Polk"
"AMERY FREE LUTHERAN CHURCH","","","","40","Ground water","647 113th Street
Amery, WI 54001","","AMERY","Polk"
"AMERY JEHOVAHS WITNESSES","","","","25","Ground water","PO Box 46
Deer Park, WI 54007","","AMERY","Polk"
"AMERY WATERWORKS","","","","2,962","Ground water","118 CENTER ST W
AMERY, WI 54001-1151","","AMERY","Polk"
