"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"AMC/MIZPAH HUT","","","","65","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","BEANS GRANT","Coos"
"AMERICAN LEGION POST 105","","","","100","Ground water","59 AMESBURY RD
KENSINGTON, NH 03833","","KENSINGTON","Rockingham"
"AMERICAN LEGION POST 34","","","","50","Ground water","176 MAIN ST
PLAISTOW, NH 03865","","PLAISTOW","Rockingham"
"AMERICAN LEGION POST 81","","","","199","Ground water","PO BOX 484
CONTOOCOOK, NH 03229","","HOPKINTON","Merrimack"
"AMERICAS STONEHENGE","","","","82","Ground water","PO BOX 84
NORTH SALEM, NH 03073","","SALEM","Rockingham"
"AMES FARM INN","","","","88","Ground water","2800 LAKE SHORE RD
GILFORD, NH 03249","","GILFORD","Belknap"
"AMHERST COUNTRY CLUB","","","","180","Ground water","72 PONEMAH RD
AMHERST, NH 03031","","AMHERST","Hillsborough"
"AMHERST MEDICAL CENTER","","","","32","Ground water","8 LIMBO LN
AMHERST, NH 03031","","AMHERST","Hillsborough"
"AMHERST PROFESSIONAL BLDG","","","","47","Ground water","100 WALDEN POND DR
NASHUA, NH 06063","","AMHERST","Hillsborough"
"ANCHORAGE ON LAKE WINNISQUAM","","","","80","Ground water","225 WATER ST
PLYMOUTH, MA 02360","","TILTON","Belknap"
"ANDOVER VILLAGE DIST","","","","650","Surface water","PO BOX 147
ANDOVER, NH 03216","","ANDOVER","Merrimack"
"ANDROSCOGGIN RANGER STATION","","","","30","Ground water","71 WHITE MOUNTAIN DR
CAMPTON, NH 03223","","GORHAM","Coos"
"ANGIES PIZZERIA","","","","30","Ground water","920 WEST SWANZEY RD
W SWANZEY, NH 03446","","SWANZEY","Cheshire"
"ANGLE POND GROVE","","","","278","Ground water","PO BOX 173
EAST HAMPSTEAD, NH 03826","","SANDOWN","Rockingham"
"ANIMAL RESCUE LEAGUE OF NH","","","","58","Ground water","545 RTE 101
BEDFORD, NH 03110","","BEDFORD","Hillsborough"
"ANNIE OAKLEY MHP","","","","127","Ground water","C/O DIANE SHIKRALLAH
PO BOX 4243
WINDHAM, NH 03087","","DERRY","Rockingham"
"ANNS LANDING","","","","63","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","KINGSTON","Rockingham"
"ANTRIM SEWER AND WATER DEPT","","","","920","Ground water","9 SMITH RD
ANTRIM, NH 03440","","ANTRIM","Hillsborough"
"AP DAILEY","","","","45","Ground water","6 LEDGE RD
WINDHAM, NH 03087","","WINDHAM","Rockingham"
"APPLE HILL CTR/CHAMBER MUSIC","","","","70","Ground water","APPLE HILL RD
PO BOX 217
EAST SULLIVAN, NH 03445","","NELSON","Cheshire"
"APPLE HILL GOLF CLUB","","","","75","Ground water","PO BOX 160
EAST KINGSTON, NH 03827","","EAST KINGSTON","Rockingham"
"APPLECREST FARM ORCHARD","","","","250","Ground water","133 EXETER RD
HAMPTON FALLS, NH 03844","","HAMPTON FALLS","Rockingham"
"APPLEKNOCKERS GEN STORE","","","","75","Ground water","230 NH RT 25
WARREN, NH 03279","","WARREN","Grafton"
"APPLESEED RESTAURANT","","","","75","Ground water","66 HIGH ST
PO BOX 774
BRADFORD, NH 03221","","BRADFORD","Merrimack"
"APPLETON BUSINESS CENTER","","","","32","Ground water","30 TRICNIT RD
NEW IPSWICH, NH 03071","","NEW IPSWICH","Hillsborough"
"APPLETON GARDENS","","","","57","Ground water","181 SUMMER ST  STE 1
LUNENBURG, MA 01462","","NEW IPSWICH","Hillsborough"
"APPLEWOOD FAMILY DENTISTRY","","","","30","Ground water","5 COMMERCE WAY
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"APS PLAISTOW PIZZA CO","","","","200","Ground water","133 PLAISTOW RD
PLAISTOW, NH 03865","","PLAISTOW","Rockingham"
"AQUARION WATER/NH","","","","18,950","Ground water","200 MONROE TPKE
MONROE, CT 06468","","HAMPTON","Rockingham"
"ARCADIA CAMPGROUND","","","","300","Ground water","PO BOX 10501
BEDFORD, NH 03110","","MOULTONBOROUGH","Carroll"
"AROMA JOES","","","","50","Ground water","528 CALEF HWY STE 1
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"ARTIES PLACE","","","","52","Ground water","PO BOX 743
MOULTONBOROUGH, NH 03254","","MOULTONBOROUGH","Carroll"
"ASHLAND WATER DEPT","","","","1,500","Ground water","ASHLAND WATER AND SEWER
28 CROSS RD
ASHLAND, NH 03217","","ASHLAND","Grafton"
"ASHLEY COMMONS","","","","73","Ground water purchased","PO BOX 1947
MERRIMACK, NH 03054","","MILFORD","Hillsborough"
"ASHUELOT RIVER APTS","","","","100","Ground water","PO BOX 10540
BEDFORD, NH 03110","","SWANZEY","Cheshire"
"ASHUELOT RIVER CAMPGROUND","","","","62","Ground water","152 PINE ST
SWANZEY, NH 03446","","SWANZEY","Cheshire"
"ASQUAM MARINA","","","","25","Ground water","9205 ATLEE BRANCH LN
PO BOX 2260
MECHANICSVILLE, VA 23116","","HOLDERNESS","Grafton"
"ASSOCIATED BUYERS","","","","84","Ground water","PO BOX 399
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"ATKINSON ACADEMY SCH","","","","429","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","ATKINSON","Rockingham"
"ATKINSON WOODS","","","","140","Ground water","PO BOX 1029
ATKINSON, NH 03811","","ATKINSON","Rockingham"
"ATTITASH WOODS CONDOS","","","","135","Ground water","PO BOX 1313
GLEN, NH 03838","","BARTLETT","Carroll"
"AUBURN CHILDRENS HOUSE","","","","30","Ground water","10 FOXTAIL LN  UT 2
GOFFSTOWN, NH 03045","","AUBURN","Rockingham"
"AUBURN DUNKIN DONUTS","","","","800","Ground water","405 HOOKSETT RD
AUBURN, NH 03032","","AUBURN","Rockingham"
"AUBURN FAMILY DENTISTRY","","","","50","Ground water","PO BOX 425
AUBURN, NH 03032","","AUBURN","Rockingham"
"AUBURN PITTS BAR AND GRILL","","","","30","Ground water","165 ROCKINGHAM RD
AUBURN, NH 03032","","AUBURN","Rockingham"
"AUBURN SUPERMARKET","","","","100","Ground water","9 CHESTER RD
AUBURN, NH 03032","","AUBURN","Rockingham"
"AUBURN TAVERN","","","","146","Ground water","346 HOOKSETT RD
AUBURN, NH 03032","","AUBURN","Rockingham"
"AUBURN VILLAGE SCH","","","","766","Ground water","11 EATON HILL RD
AUBURN, NH 03032","","AUBURN","Rockingham"
"AUDREYS CAFE","","","","72","Ground water","PO BOX 106
DUBLIN, NH 03444","","DUBLIN","Cheshire"
"AUTO ROAD LODGE","","","","500","Ground water","PO BOX 278
GORHAM, NH 03581","","GREENS GRANT","Coos"
"AUTOFAIR NISSAN","","","","40","Ground water","45 PORTSMOUTH AVE
STRATHAM, NH 03885","","STRATHAM","Rockingham"
"AUTOSERV OF TILTON","","","","120","Ground water","PO BOX 1360
TILTON, NH 03276","","TILTON","Belknap"
"AUTUMN HILLS CAMPGROUND","","","","280","Ground water","285 S STARK HWY
WEARE, NH 03281","","WEARE","Hillsborough"
"AUTUMN WOODS","","","","73","Ground water","DEPARTMENT OF PUBLIC WORKS
14 MANNING ST
DERRY, NH 03038","","DERRY","Rockingham"
"AUTUMN WOODS","","","","180","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","SALEM","Rockingham"
"AVALOCH FARM MUSIC INSTITUTE","","","","48","Ground water","200 WATER ST
BOSCAWEN, NH 03303","","BOSCAWEN","Merrimack"
"AYERS LAKE COTTAGES","","","","30","Ground water","497 WASHINGTON ST
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"BACK LAKE CAMPGROUND","","","","60","Ground water","14 REAR ABERDEEN AVE
PEABODY, MA 01960","","PITTSBURG","Coos"
"BACK WELL","","","","30","Ground water","29 TYLER AVE
MEDFORD, MA 02155","","MEREDITH","Belknap"
"BADGER HILL","","","","348","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","MILFORD","Hillsborough"
"BAKER FREE LIBRARY","","","","60","Ground water","590 SOUTH ST
BOW, NH 03304","","BOW","Merrimack"
"BAKER HILL GOLF CLUB","","","","25","Ground water","101 BAKER HILL RD
NEWBURY, NH 03255","","NEWBURY","Merrimack"
"BAKER RIVER BIBLE CHURCH","","","","80","Ground water","299 RESERVOIR RD
PLYMOUTH, NH 03264","","WENTWORTH","Grafton"
"BAKER RIVER CAMPGROUND","","","","220","Ground water","56 CAMPGROUND RD
RUMNEY, NH 03266","","RUMNEY","Grafton"
"BALD PEAK COLONY CLUB/CLUB HSE","","","","100","Ground water","PO BOX 201
MELVIN VILLAGE, NH 03850","","MOULTONBOROUGH","Carroll"
"BALD PEAK COLONY CLUB/DORM","","","","75","Ground water","PO BOX 201
MELVIN VILLAGE, NH 03850","","MOULTONBOROUGH","Carroll"
"BALMORAL CONDOS","","","","105","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","STRATHAM","Rockingham"
"BARBARA C HARRIS CAMP/CONF CTR","","","","320","Ground water","PO BOX 204
GREENFIELD, NH 03047","","GREENFIELD","Hillsborough"
"BARKER STEEL","","","","30","Ground water","19 JOHNSON CIR
TUNBRIDGE, VT 05077","","CANAAN","Grafton"
"BARKLAND ACRES","","","","80","Ground water","19 BROOKVIEW DR
DERRY, NH 03038","","DERRY","Rockingham"
"BARN STORE OF NEW ENGLAND","","","","28","Ground water","96 OLD TURNPIKE RD
SALISBURY, NH 03268","","SALISBURY","Merrimack"
"BARNARD SCH","","","","107","Ground water","2 ALUMNI DR
HAMPTON, NH 03842","","SOUTH HAMPTON","Rockingham"
"BARNES FIELD CAMPGROUND","","","","25","Ground water","105 FLETCHER FARM RD
ALEXANDRIA, NH 03222","","MARTINS LOCATION","Coos"
"BARNSTEAD BUSINESS PARK","","","","52","Ground water","1440 LAKE SHORE RD
GILFORD, NH 03249","","BARNSTEAD","Belknap"
"BARNSTEAD ELEMENTARY SCH","","","","646","Ground water","1 SUNCOOK VALLEY
PO BOX 250
CENTER BARNSTEAD, NH 03225","","BARNSTEAD","Belknap"
"BARNYARD BUDDIES","","","","40","Ground water","77 CHESTER RD
FREMONT, NH 03044","","FREMONT","Rockingham"
"BARONS CONDOS","","","","60","Ground water","12 ROGERS RD
HAVERHILL, MA 01835","","PLAISTOW","Rockingham"
"BARRINGTON ELEMENTARY SCH","","","","488","Ground water","572 CALEF HWY
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"BARRINGTON HILLS APTS/LOWER","","","","38","Ground water","99 FISHERVILLE RD
CONCORD, NH 03303","","BARRINGTON","Strafford"
"BARRINGTON HILLS APTS/UPPER","","","","43","Ground water","99 FISHERVILLE RD
CONCORD, NH 03303","","BARRINGTON","Strafford"
"BARRINGTON IRVING","","","","300","Ground water","190 COMMERCE WAY
PORTSMOUTH, NH 03801","","BARRINGTON","Strafford"
"BARRINGTON MIDDLE SCH","","","","510","Ground water","572 CALEF HWY
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"BARRINGTON MOBILE HOME ESTATES","","","","198","Ground water","19 CALEF HWY
LEE, NH 03861","","BARRINGTON","Strafford"
"BARRINGTON OAKS","","","","123","Ground water","26 GOLDFINCH RD
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"BARRINGTON STATION","","","","125","Ground water","73 DURHAM POINT RD
DURHAM, NH 03824","","BARRINGTON","Strafford"
"BARRINGTON VLG ENRICHMENT CTR","","","","58","Ground water","45 COMMERCE WAY
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"BARRON BROOK INN","","","","53","Ground water","DBA THE BARRON BROOK INN
759 LANCASTER RD
WHITEFIELD, NH 03598","","WHITEFIELD","Coos"
"BARRY CONSERVATION CAMP","","","","54","Ground water","11 HAZEN DR
CONCORD, NH 03301","","BERLIN","Coos"
"BARTLETT PLACE","","","","72","Ground water","C/O EG CHANDLER INC
PO BOX 646
GLEN, NH 03838","","BARTLETT","Carroll"
"BARTLETT VILLAGE PCT","","","","625","Surface water","PO BOX 135
JACKSON, NH 03846","","BARTLETT","Carroll"
"BARTON MHP","","","","43","Ground water","PO BOX 1019
EPSOM, NH 03234","","EAST KINGSTON","Rockingham"
"BARVEL WHANG","","","","63","Ground water","9 BARVEL WHANG RD
MELVIN VILLAGE, NH 03850","","TUFTONBORO","Carroll"
"BASIN CAMPGROUND","","","","52","Ground water","105 FLETCHER FARM RD
ALEXANDRIA, NH 03222","","CHATHAM","Carroll"
"BATH VILLAGE WATER WORKS","","","","136","Ground water","PO BOX 88
BATH, NH 03740","","BATH","Grafton"
"BAXTER LAKE RECREATION","","","","550","Ground water","101 FOUR ROD RD  UT 60
ROCHESTER, NH 03867","","ROCHESTER","Strafford"
"BAYSIDE INN","","","","60","Ground water","86 RTE 11D
ALTON BAY, NH 03810","","ALTON","Belknap"
"BEAM CAMP","","","","121","Ground water","411 UNQUITY RD
MILTON, MA 02186","","STRAFFORD","Strafford"
"BEAR BROOK ST PK/BEAVER POND","","","","350","Ground water","12 PODUNK RD
ALLENSTOWN, NH 03275","","DEERFIELD","Rockingham"
"BEAR PEAK AT ATTITASH","","","","800","Ground water","PO BOX 308
BARTLETT, NH 03812","","BARTLETT","Carroll"
"BEAR VIEW CROSSING","","","","309","Ground water purchased","2 PARKWOOD DR
ALLENSTOWN, NH 03275","","ALLENSTOWN","Merrimack"
"BEAR VILLAGE SOUTH","","","","30","Ground water","PO BOX 280
INTERVALE, NH 03845","","BARTLETT","Carroll"
"BEARCAMP RIVER CAMPGROUND","","","","120","Ground water","330 NEWMAN DREW RD
PO BOX 104
WEST OSSIPEE, NH 03890","","OSSIPEE","Carroll"
"BEARFOOT CREEK","","","","28","Ground water","80 WASHINGTON ST J 40
NORWELL, MA 02061","","BARTLETT","Carroll"
"BEARS PINE WOODS CAMPGROUND","","","","250","Ground water","65 BARRETT PL
PO BOX 776
MOULTONBOROUGH, NH 03254","","MOULTONBOROUGH","Carroll"
"BEAVER BROOK/MAPLE HILL FARM","","","","75","Ground water","117 RIDGE RD
HOLLIS, NH 03049","","HOLLIS","Hillsborough"
"BEAVER HOLLOW CAMPGROUND","","","","380","Ground water","PO BOX 437
OSSIPEE, NH 03864","","OSSIPEE","Carroll"
"BECKET HOUSE AT CAMPTON","","","","32","Ground water","PO BOX 1317
CAMPTON, NH 03223","","CAMPTON","Grafton"
"BECKET HOUSE AT HALL FARM","","","","46","Ground water","PO BOX 64
ETNA, NH 03750","","HAVERHILL","Grafton"
"BEDFORD VILLAGE MORNING SCH","","","","60","Ground water","54 MEETINGHOUSE RD
BEDFORD, NH 03110","","BEDFORD","Hillsborough"
"BEDFORD WEST CONVENIENCE CTR","","","","180","Ground water","175 CANAL ST STE 401
MANCHESTER, NH 03101","","BEDFORD","Hillsborough"
"BEDFORD WHITE AVE IRVING","","","","475","Ground water","190 COMMERCE WAY
PORTSMOUTH, NH 03801","","BEDFORD","Hillsborough"
"BEEBE RIVER","","","","63","Ground water","12 GEARTY WAY
CAMPTON, NH 03223","","CAMPTON","Grafton"
"BEECH HILL CAMPGROUND","","","","448","Ground water","RTE 302
PO BOX 129
TWIN MOUNTAIN, NH 03595","","CARROLL","Coos"
"BEECH HILL PARK","","","","70","Ground water","11 COURT ST  STE 100
EXETER, NH 03833","","EXETER","Rockingham"
"BEECH HILL SCHOOL","","","","40","Ground water","20 BEECH HILL RD
HOPKINTON, NH 03229","","HOPKINTON","Merrimack"
"BELA BROOK WATER","","","","50","Ground water","19 KELSO DR
BOW, NH 03304","","BOW","Merrimack"
"BELKNAP HEIGHTS WATER","","","","60","Ground water","1440 LAKE SHORE RD
GILFORD, NH 03249","","GILFORD","Belknap"
"BELKNAP POINT MOTEL","","","","43","Ground water","107 BELKNAP POINT RD
GILFORD, NH 03249","","GILFORD","Belknap"
"BELL AND FLYNN","","","","26","Ground water","386 WHITTIER DR
FREMONT, NH 03044","","STRATHAM","Rockingham"
"BELLETETES ANDOVER","","","","35","Ground water","PO BOX 269
FRANKLIN, NH 03235","","ANDOVER","Merrimack"
"BELMONT BUSINESS PARK","","","","80","Ground water","PO BOX 625
BELMONT, NH 03220","","BELMONT","Belknap"
"BELMONT FAMILY DENTAL CENTER","","","","27","Ground water","24 CORPORATE DR
BELMONT, NH 03220","","BELMONT","Belknap"
"BELMONT MEDICAL CENTER","","","","28","Ground water","80 HIGHLAND ST
LACONIA, NH 03246","","BELMONT","Belknap"
"BELMONT WATER DEPT","","","","1,612","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","BELMONT","Belknap"
"BELMONT WATER DEPT/NORTH","","","","150","Surface water purchased","PO BOX 1947
MERRIMACK, NH 03054","","BELMONT","Belknap"
