"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"101 PLAZA","","","","75","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","BEDFORD","Hillsborough"
"104 DINER","","","","350","Ground water","PO BOX 581
ASHLAND, NH 03217","","NEW HAMPTON","Belknap"
"108 EXPRESS MINI MART","","","","48","Ground water","21 SOUTH MAIN ST
NEWTON, NH 03858","","NEWTON","Rockingham"
"115/119 EMERSON RD","","","","32","Ground water","115 EMERSON RD
MILFORD, NH 03055","","MILFORD","Hillsborough"
"124 BEDFORD CENTER RD","","","","50","Ground water","124 BEDFORD CENTER RD STE B
BEDFORD, NH 03110","","BEDFORD","Hillsborough"
"144 MAIN STREET","","","","95","Ground water","PO BOX 980
PLAISTOW, NH 03865","","PLAISTOW","Rockingham"
"149/151 PORTSMOUTH AVE","","","","25","Ground water","PO BOX 1137
STRATHAM, NH 03885","","STRATHAM","Rockingham"
"153 LAFAYETTE RD WATER SYSTEM","","","","30","Ground water","153 LAFAYETTE RD  UT 8A
HAMPTON FALLS, NH 03844","","HAMPTON FALLS","Rockingham"
"175 ESTATES","","","","110","Ground water","PO BOX 389
MOULTONBOROUGH, NH 03254","","THORNTON","Grafton"
"18 CLINTON DR BLDG","","","","75","Ground water","22 MANCHESTER RD UT 2
DERRY, NH 03038","","HOLLIS","Hillsborough"
"18 HUGHES LN/EFFINGHAM","","","","60","Ground water","PO BOX 156
ALTON, NH 03809","","EFFINGHAM","Carroll"
"183 ROCKINGHAM ROAD","","","","40","Ground water","4 LEDGE RD
WINDHAM, NH 03087","","WINDHAM","Rockingham"
"1830 HOUSE MOTEL","","","","35","Ground water","626 W MAIN ST
HILLSBOROUGH, NH 03244","","HILLSBOROUGH","Hillsborough"
"198 LONDONDERRY TURNPIKE","","","","98","Ground water","101 E INDUSTRIAL PARK DR
MANCHESTER, NH 03109","","HOOKSETT","Merrimack"
"20 JAFFREY RD","","","","32","Ground water","586 TURNPIKE RD
NEW IPSWICH, NH 03071","","FITZWILLIAM","Cheshire"
"26 CHANDLER AVE CONDOS","","","","33","Ground water","149 PLAISTOW RD
PLAISTOW, NH 03865","","PLAISTOW","Rockingham"
"26 CLINTON DRIVE BLDG","","","","150","Ground water","8025 SOUTH WILLOW ST STE 209
MANCHESTER, NH 03103","","HOLLIS","Hillsborough"
"266 ROUTE 125","","","","80","Ground water","C/O CHARTWELL PROPERTIES
1 WALL ST
HUDSON, NH 03051","","KINGSTON","Rockingham"
"28 BUTTRICK RD PROPERTY","","","","83","Ground water","PO BOX 331
LONDONDERRY, NH 03053","","LONDONDERRY","Rockingham"
"288 ROUTE 101","","","","25","Ground water","TWO ITALIAN GIRLS LLC
175 CANAL ST STE 401
MANCHESTER, NH 03101","","BEDFORD","Hillsborough"
"292 ROUTE 101","","","","25","Ground water","292 RTE 101
BEDFORD, NH 03110","","BEDFORD","Hillsborough"
"3 / 11 PLAISTOW RD PLAZA","","","","500","Ground water","125 HALF MILE RD  STE 207
RED BANK, NJ 07701","","PLAISTOW","Rockingham"
"337 CALEF HIGHWAY","","","","50","Ground water","337 CALEF HWY
EPPING, NH 03042","","EPPING","Rockingham"
"3M TILTON","","","","45","Ground water","1 PAPER TRAIL
TILTON, NH 03276","","TILTON","Belknap"
"4 H YOUTH CENTER","","","","1,150","Ground water","PO BOX 391
NEW BOSTON, NH 03070","","NEW BOSTON","Hillsborough"
"470 MOBIL","","","","950","Ground water","470 RTE 101
BEDFORD, NH 03110","","BEDFORD","Hillsborough"
"501 SOUTH STREET","","","","25","Ground water","PO BOX 1438
CONCORD, NH 03302","","BOW","Merrimack"
"514 SOUTH ST","","","","30","Ground water","844 MASS AVE
LEXINGTON, MA 02420","","BOW","Merrimack"
"603 MARKETPLACE","","","","70","Ground water","125 GOV WENTWORH HWY
MOULTONBOROUGH, NH 03254","","MOULTONBOROUGH","Carroll"
"7 DEPOT RD/BEING COOL","","","","45","Ground water","PO BOX 183
NEW DURHAM, NH 03855","","NEW DURHAM","Strafford"
"7 ELEVEN","","","","925","Ground water","11 LEDGE ST
NASHUA, NH 03060","","LITCHFIELD","Hillsborough"
"98 AMESBURY RD","","","","100","Ground water","199 SOUTH RD
KENSINGTON, NH 03833","","KENSINGTON","Rockingham"
"A AND M JUNCTION VARIETY","","","","32","Ground water","PO BOX 97
NEWTON JUNCTION, NH 03859","","NEWTON","Rockingham"
"A AND M SANDOWN MARKET","","","","50","Ground water","335 MAIN ST
SANDOWN, NH 03873","","SANDOWN","Rockingham"
"A CHILDS PLACE","","","","59","Ground water","81 DRIFTWOOD DR
MOULTONBOROUGH, NH 03254","","MOULTONBOROUGH","Carroll"
"A PLACE TO GROW","","","","45","Ground water","436 RTE 125
BRENTWOOD, NH 03833","","BRENTWOOD","Rockingham"
"A&J MILAN LUNCHEONETTE/VARIETY","","","","75","Ground water","717 MILAN RD
MILAN, NH 03588","","MILAN","Coos"
"ABBOTT/STAPLES GENERAL STORE","","","","25","Ground water","540 RTE 25 E
CENTER OSSIPEE, NH 03814","","OSSIPEE","Carroll"
"ABENAKI WATER /LAKELAND","","","","395","Ground water","32 ARTISAN CT  UT 2
GILFORD, NH 03249","","BELMONT","Belknap"
"ABENAKI WATER/GILFORD VILLAGE","","","","190","Ground water","37 NORTHWEST DR
PLAINVILLE, CT 06062","","GILFORD","Belknap"
"ABENAKI WATER/TIOGA  BELMONT","","","","55","Ground water","37 NORTHWEST DR
PLAINVILLE, CT 06062","","BELMONT","Belknap"
"ABENAKI WATER/WHITE ROCK WATER","","","","238","Ground water","32 ARTISAN CT  UT 2
GILFORD, NH 03249","","BOW","Merrimack"
"ABERDEEN/WEST","","","","46","Ground water","PO BOX 215
STRATHAM, NH 03885","","STRATHAM","Rockingham"
"ACKERMAN RETIREMENT PARK","","","","350","Ground water","48A BELL DR
SALEM, NH 03079","","SALEM","Rockingham"
"ACORN SCH","","","","54","Ground water","PO BOX 570
STRATHAM, NH 03885","","STRATHAM","Rockingham"
"ACORN TERRACE","","","","215","Ground water","7 JOSHUA ST
ROCHESTER, NH 03867","","ROCHESTER","Strafford"
"ACTION KIDS AT BRENTWOOD CMNS","","","","25","Ground water","112 CRAWLEY FALLS RD
BRENTWOOD, NH 03833","","BRENTWOOD","Rockingham"
"ACWORTH PRIMARY SCH","","","","32","Ground water","FALL MOUNTAIN REGL SCHL DIST
PO BOX 720
LANGDON, NH 03602","","ACWORTH","Sullivan"
"ADVENTURER CAMPGROUND","","","","100","Ground water","15 GILE RD
OSSIPEE, NH 03864","","OSSIPEE","Carroll"
"AFL TELECOMMUNICATIONS LLC","","","","35","Ground water","16 EASTGATE PARK RD
BELMONT, NH 03220","","BELMONT","Belknap"
"AGES AND STAGES HAMPSTEAD","","","","99","Ground water","499 MAIN ST
HAMPSTEAD, NH 03841","","HAMPSTEAD","Rockingham"
"AIRPORT COUNTRY STORE","","","","400","Ground water","PO BOX 7634
GILFORD, NH 03247","","GILFORD","Belknap"
"ALAMO TEXAS BAR-B-CUE","","","","80","Ground water","99 RTE 13
BROOKLINE, NH 03033","","BROOKLINE","Hillsborough"
"ALDWORTH MANOR","","","","212","Ground water","191 ALDWORTH MANOR RD
HARRISVILLE, NH 03450","","HARRISVILLE","Cheshire"
"ALEXANDERS ITALIAN RESTAURANT","","","","100","Ground water","489 PORTLAND AVE
ROLLINSFORD, NH 03869","","ROLLINSFORD","Strafford"
"ALL ABOARD PRESCH AND CHLDCARE","","","","86","Ground water","249 STAGE RD
NOTTINGHAM, NH 03290","","NOTTINGHAM","Rockingham"
"ALL AMERICAN ASSISTED LIVING","","","","112","Ground water","193 MAIN ST
KINGSTON, NH 03848","","KINGSTON","Rockingham"
"ALL SEASONS CONDOS","","","","325","Ground water","194 BUCKLEY RD
WEARE, NH 03281","","WEARE","Hillsborough"
"ALLTOWN","","","","150","Ground water","88 LEROY RD
WILLISTON, VT 05495","","BOW","Merrimack"
"ALPINE GROVE BANQUET FACILITY","","","","300","Ground water","25 IRENE DR
HOLLIS, NH 03049","","HOLLIS","Hillsborough"
"ALSTEAD GENERAL STORE","","","","40","Ground water","10 MECHANIC ST
ALSTEAD, NH 03602","","ALSTEAD","Cheshire"
"ALSTEAD PRIMARY SCH","","","","177","Ground water","FACILITIES DEPT
PO BOX 440
ALSTEAD, NH 03602","","ALSTEAD","Cheshire"
"ALSTEAD VILAS SCH","","","","190","Ground water","FACILITIES DEPT
PO BOX 440
ALSTEAD, NH 03602","","ALSTEAD","Cheshire"
"ALTON SHORES DEVELOPMENT/NORTH","","","","83","Ground water","PO BOX 90
ALTON BAY, NH 03810","","ALTON","Belknap"
"ALTON SHORES DEVELOPMENT/SOUTH","","","","38","Ground water","PO BOX 90
ALTON BAY, NH 03810","","ALTON","Belknap"
"ALTON SHORES/NUTTER DR PH3","","","","50","Ground water","PO BOX 90
ALTON BAY, NH 03810","","ALTON","Belknap"
"ALTON WATER WORKS","","","","1,750","Ground water","PO BOX 803
ALTON, NH 03809","","ALTON","Belknap"
"AMC CARDIGAN LODGE","","","","90","Ground water","CARDIGAN LODGE
774 SHEM VALLEY RD
ALEXANDRIA, NH 03222","","ALEXANDRIA","Grafton"
"AMC CARTER NOTCH","","","","42","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","BEANS PURCHASE","Coos"
"AMC COLD RIVER CAMP","","","","75","Ground water","COLD RIVER CAMP
433 RT 119 E
FITZWILLIAM, NH 03447","","CHATHAM","Carroll"
"AMC GALEHEAD HUT","","","","40","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","FRANCONIA","Grafton"
"AMC GREENLEAF HUT","","","","53","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","FRANCONIA","Grafton"
"AMC HIGHLAND CENTER","","","","138","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","CARROLL","Coos"
"AMC LAKES OF THE CLOUDS HUT","","","","112","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","SARGENTS PURCHASE","Coos"
"AMC LONESOME LAKE","","","","52","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","LINCOLN","Grafton"
"AMC MADISON SPRING HUT","","","","55","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","LOW AND BURBANKS GRANT","Coos"
"AMC PINKHAM NOTCH CAMP","","","","60","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","PINKHAMS GRANT","Coos"
"AMC THREE MILE ISLAND","","","","120","Ground water","VIA US MAILBOAT
LACONIA, NH 03246","","MEREDITH","Belknap"
"AMC ZEALAND FALLS HUT","","","","41","Ground water","PINKHAM NOTCH VISITOR CTR
PO BOX 298
GORHAM, NH 03581","","BETHLEHEM","Grafton"
