Utility,Pages,Total Tests,Failed,Warning,Passed,User Verify,Not Applicable,ASCORE
OH1801003,3,45,101,11,14,4,19,12.17391304
OH2000212,3,45,173,7,15,3,19,7.978723404
OH2201411,6,45,259,7,14,6,19,5.128205128
OH3102212,4,45,264,8,10,6,23,3.649635036
OH3600614,4,45,3,5,5,4,31,62.5
OH5701212,4,45,11,272,4,3,30,26.66666667
OH7803203,6,45,12,874,13,7,20,52
OK1221637,4,45,224,1157,8,3,25,3.448275862
OK3004001,4,45,330,14,10,4,24,2.941176471
OK3006112,3,45,131,834,8,3,25,5.755395683
OK3007223,6,45,10,7,1,2,36,9.090909091
OR4100246,2,45,52,5,12,3,23,18.75
OR4100566,4,45,44,16,13,4,20,22.80701754
OR4100798,7,45,69,47,13,3,19,15.85365854
OR4100914,3,45,112,3,15,4,19,11.81102362
OR4100957,2,45,24,7,7,5,27,22.58064516
PA1090128,4,45,417,1037,8,3,26,1.882352941
PA3060052,2,45,7,3,4,4,30,36.36363636
PA4490023,8,45,85,15,13,6,20,13.26530612
PA5300005,6,45,10,7,1,2,36,9.090909091
PA6420019,7,45,67,12,13,6,20,16.25
PA7360113,4,45,567,8,14,4,19,2.409638554
PA7360143,12,45,16,12,1,3,35,5.882352941
SC2410001,5,45,223,22700,9,5,23,3.879310345
SC3220003,2,45,11,369,8,3,26,42.10526316
SC3320001,4,45,253,9,10,4,24,3.802281369
SC3910003,3,45,5,4,10,4,25,66.66666667
SC4320001,10,45,316,14,10,2,23,3.067484663
SC4610002,16,45,664,20,14,11,17,2.064896755
SD4600304,4,45,6,7,10,3,27,62.5
TN0000037,2,45,187,4,15,6,19,7.425742574
TN0000073,6,45,6,5945,0,3,36,0
TN0000349,10,45,439,14,7,68,25,1.569506726
TN0000511,3,45,324,6,14,4,20,4.142011834
TN0000569,2,45,6,3,1,2,36,14.28571429
TN0000813,2,45,233,5,14,3,20,5.668016194
TX0030016,4,45,8,5,1,2,36,11.11111111
TX0200645,2,45,431,8,14,4,19,3.146067416
TX0310002,5,45,218,12,10,3,19,4.385964912
TX0610080,2,45,12,18,5,3,31,29.41176471
TX0710018,4,45,8,5,1,2,36,11.11111111
TX0790324,2,45,369,8,9,4,24,2.380952381
TX0840002,2,45,7,17,8,3,26,53.33333333
TX1010062,3,45,13,1245,8,4,25,38.0952381
TX1010159,5,45,260,211,12,3,19,4.411764706
TX1010539,3,45,7,4,1,3,36,12.5
TX1010554,4,45,677,12,9,3,24,1.311953353
TX1011256,5,45,171,11,10,3,24,5.524861878
TX1013178,3,45,11,6,3,9,31,21.42857143
TX1020002,4,45,44,17,3,3,32,6.382978723
TX1050002,7,45,175,10,11,2,25,5.913978495
TX1080006,10,45,595,18,14,3,18,2.298850575
TX1080010,2,45,213,14,6,3,30,2.739726027
TX1630010,18,45,399,20,11,19,22,2.682926829
TX1840079,3,45,191,11,13,3,19,6.37254902
TX1940002,4,45,26,11,12,9,21,31.57894737
TX2200060,5,45,11,6,1,3,36,8.333333333
TX2270001,2,45,14,483,7,3,26,33.33333333
TX2270012,2,45,8,2,1,3,36,11.11111111
UTAH26086,5,45,401,10,4,14,24,0.987654321
VA2165525,4,45,26,9,12,13,21,31.57894737
VA2171850,2,45,17,9,7,25,27,29.16666667
VA3095490,5,45,867,32,8,6,25,0.914285714
VA5031150,7,45,11,8,1,2,36,8.333333333
VA5143396,4,45,200,8,14,4,19,6.542056075
VA6137500,7,45,396,15,10,3,24,2.463054187
WA5300710,5,45,198,10,14,3,20,6.603773585
WA5339800,4,45,133,7,13,9,19,8.904109589
WA5340900,12,45,126,17,14,6,18,10
WA5356820,2,45,85,4,4,3,31,4.494382022
WA5375560,5,45,22,7,12,3,22,35.29411765
WA5385050,2,45,393,7,14,3,19,3.43980344
WA5391450,1,45,110,6,10,3,24,8.333333333
WA5393353,3,45,35,2,8,5,25,18.60465116
WI2410556,12,45,1348,24,14,4,18,1.027900147
WI4200476,8,45,261,19,10,4,26,3.6900369
WI4430495,6,45,223,15,10,3,26,4.291845494
WI4450409,14,45,35,18,14,29,20,28.57142857
WI6090462,5,45,27,8,8,6,25,22.85714286
WI6320306,5,45,357,18,9,4,27,2.459016393
WV3302502,4,45,263,7,14,5,20,5.054151625
WV3303516,2,45,430,5,9,3,24,2.050113895
WV3305411,2,45,161,6,10,2,25,5.847953216
WY5600011,10,45,581,16,15,4,18,2.516778523
WY5600042,6,45,207,10,15,4,20,6.756756757
PR0002782,4,45,250,11,10,3,24,3.846153846
PR0004945,4,45,250,11,10,3,24,3.846153846
PR0003862,4,45,250,11,10,3,24,3.846153846
