,NAME,state,place,PCT023003,PCT023001,% White
647,"Marion town, Louisiana",22,48645,289,765,0.377777778
648,"Marksville city, Louisiana",22,48750,2877,5702,0.504559804
649,"Marrero CDP, Louisiana",22,48785,13939,33141,0.420596844
650,"Melville town, Louisiana",22,49730,478,1041,0.459173871
651,"Martin village, Louisiana",22,48925,570,594,0.95959596
652,"Mathews CDP, Louisiana",22,49170,2127,2209,0.962879131
653,"Maurice village, Louisiana",22,49240,770,964,0.798755187
654,"Meraux CDP, Louisiana",22,49800,4771,5816,0.820323246
655,"Mermentau village, Louisiana",22,49870,581,661,0.878971256
656,"Mer Rouge village, Louisiana",22,49905,407,628,0.648089172
657,"Merrydale CDP, Louisiana",22,49940,448,9772,0.045845272
658,"Merryville town, Louisiana",22,50010,894,1103,0.810516772
659,"Metairie CDP, Louisiana",22,50115,110827,138481,0.800304735
660,"Minorca CDP, Louisiana",22,50990,1689,2317,0.728959862
661,"Midway CDP, Louisiana",22,50395,600,1291,0.464756003
662,"Milton CDP, Louisiana",22,50815,2862,3030,0.944554455
663,"Minden city, Louisiana",22,50885,6041,13082,0.461779544
664,"Monroe city, Louisiana",22,51410,16312,48815,0.334159582
665,"Montegut CDP, Louisiana",22,51550,1334,1540,0.866233766
666,"Monterey CDP, Louisiana",22,51585,435,439,0.990888383
667,"Montgomery town, Louisiana",22,51620,576,730,0.789041096
668,"Monticello CDP, Louisiana",22,51645,734,5172,0.14191802
669,"Montpelier village, Louisiana",22,51690,120,266,0.45112782
670,"Montz CDP, Louisiana",22,51795,1566,1918,0.816475495
671,"Morgan City city, Louisiana",22,52040,8348,12404,0.673008707
672,"Moonshine CDP, Louisiana",22,51800,24,194,0.12371134
673,"Mooringsport town, Louisiana",22,51830,664,793,0.837326608
674,"Moreauville village, Louisiana",22,51970,537,929,0.578040904
675,"Morganza village, Louisiana",22,52075,437,610,0.716393443
676,"Morse village, Louisiana",22,52320,808,812,0.995073892
677,"Moss Bluff CDP, Louisiana",22,52425,10401,11557,0.899974042
678,"Mound village, Louisiana",22,52565,15,19,0.789473684
679,"Mount Lebanon town, Louisiana",22,52740,69,83,0.831325301
680,"Napoleonville village, Louisiana",22,53370,119,660,0.18030303
681,"Newellton town, Louisiana",22,53930,338,1187,0.284751474
682,"Natalbany CDP, Louisiana",22,53475,1800,2984,0.603217158
683,"Natchez village, Louisiana",22,53510,52,597,0.087102178
684,"Natchitoches city, Louisiana",22,53545,6824,18323,0.372428096
685,"New Iberia city, Louisiana",22,54035,16085,30617,0.525361727
686,"New Llano town, Louisiana",22,54175,1084,2504,0.432907348
687,"New Orleans city, Louisiana",22,55000,113428,343829,0.329896547
688,"New Roads city, Louisiana",22,55105,1897,4831,0.392672325
689,"New Sarpy CDP, Louisiana",22,55140,679,1464,0.463797814
690,"Noble village, Louisiana",22,55420,154,252,0.611111111
691,"East Douglas CDP, Massachusetts",25,18875,2455,2557,0.960109503
692,"Easthampton Town city, Massachusetts",25,19370,15026,16053,0.936024419
693,"East Dennis CDP, Massachusetts",25,18840,2627,2753,0.954231747
694,"East Falmouth CDP, Massachusetts",25,18980,5484,6038,0.908247764
695,"East Harwich CDP, Massachusetts",25,19400,4609,4872,0.946018062
696,"Essex CDP, Massachusetts",25,21815,1435,1471,0.975526852
697,"East Pepperell CDP, Massachusetts",25,20310,1976,2059,0.959689169
698,"East Sandwich CDP, Massachusetts",25,20380,3859,3940,0.979441624
699,"Everett city, Massachusetts",25,21990,26177,41667,0.628242974
700,"Fall River city, Massachusetts",25,23000,77349,88857,0.870488538
701,"Falmouth CDP, Massachusetts",25,23070,3479,3799,0.915767307
702,"Fiskdale CDP, Massachusetts",25,23840,2431,2583,0.941153697
703,"Fitchburg city, Massachusetts",25,23875,31529,40318,0.782008036
704,"Forestdale CDP, Massachusetts",25,24190,3942,4099,0.961697975
705,"Burbank CDP, Washington",53,8780,2939,3291,0.893041629
706,"Burien city, Washington",53,8850,21158,33313,0.635127428
707,"Burlington city, Washington",53,8920,6051,8388,0.721387697
708,"Camas city, Washington",53,9480,16910,19355,0.873676053
709,"Canterwood CDP, Washington",53,9810,2707,3079,0.879181552
710,"Carnation city, Washington",53,10215,1532,1786,0.857782755
711,"Canyon Creek CDP, Washington",53,9820,2960,3200,0.925
712,"Carbonado town, Washington",53,9970,568,610,0.931147541
713,"Carlsborg CDP, Washington",53,10075,922,995,0.926633166
714,"Carson CDP, Washington",53,10320,2052,2279,0.90039491
715,"Cascade Valley CDP, Washington",53,10455,1845,2246,0.821460374
716,"Cashmere city, Washington",53,10495,2358,3063,0.769833497
717,"Castle Rock city, Washington",53,10565,1812,1982,0.914228052
718,"Cathcart CDP, Washington",53,10600,2337,2458,0.950772986
719,"Cathlamet town, Washington",53,10635,504,532,0.947368421
720,"Central Park CDP, Washington",53,11195,2410,2685,0.897579143
721,"Cavalero CDP, Washington",53,10645,4207,4660,0.9027897
722,"Centerville CDP, Washington",53,11090,101,112,0.901785714
723,"Centralia city, Washington",53,11160,13901,16336,0.850942703
724,"Chain Lake CDP, Washington",53,11325,3479,3741,0.92996525
725,"Chehalis city, Washington",53,11475,6313,7259,0.869679019
726,"Chelan city, Washington",53,11615,3116,3890,0.801028278
727,"Chelan Falls CDP, Washington",53,11685,184,329,0.559270517
728,"Cheney city, Washington",53,11825,8653,10590,0.817091596
729,"Cherry Grove CDP, Washington",53,12015,513,546,0.93956044
730,"Chewelah city, Washington",53,12140,2426,2607,0.930571538
