,NAME,state,place,H011001,H011004,% Renters
101,"Glen Allen CDP, Virginia",51,31200,14754,3013,0.204215806
102,"Glen Lyn town, Virginia",51,31376,115,43,0.373913043
103,"Glenvar CDP, Virginia",51,31488,728,337,0.462912088
104,"Gloucester Point CDP, Virginia",51,31616,9402,2479,0.263667305
105,"Goochland CDP, Virginia",51,31808,861,131,0.152148664
106,"Gordonsville town, Virginia",51,31936,1496,553,0.369652406
107,"Goshen town, Virginia",51,31968,361,136,0.376731302
108,"Gratton CDP, Virginia",51,32320,937,105,0.112059765
109,"Great Falls CDP, Virginia",51,32496,15427,879,0.056978026
110,"Greenbackville CDP, Virginia",51,32560,192,46,0.239583333
111,"Greenbriar CDP, Virginia",51,32592,8155,2771,0.339791539
112,"Humansville city, Missouri",29,33706,884,317,0.358597285
113,"Hume town, Missouri",29,33724,336,61,0.181547619
114,"Hunnewell city, Missouri",29,33760,184,52,0.282608696
115,"Hunter CDP, Missouri",29,33778,168,44,0.261904762
116,"Huntleigh city, Missouri",29,33850,334,32,0.095808383
117,"Huntsdale town, Missouri",29,33868,31,12,0.387096774
118,"Huntsville city, Missouri",29,33886,1451,399,0.274982771
119,"Hurdland city, Missouri",29,33904,163,30,0.18404908
120,"Hurley city, Missouri",29,33922,178,36,0.202247191
121,"Independence city, Missouri",29,35000,115605,37697,0.326084512
122,"Iatan village, Missouri",29,34210,45,16,0.355555556
123,"Iberia city, Missouri",29,34228,736,249,0.338315217
124,"Imperial CDP, Missouri",29,34354,4702,621,0.132071459
125,"Indian Point village, Missouri",29,35186,528,118,0.223484848
126,"Innsbrook village, Missouri",29,35240,552,15,0.027173913
127,"Ionia town, Missouri",29,35306,88,31,0.352272727
128,"Irena village, Missouri",29,35324,18,0,0
129,"Irondale city, Missouri",29,35396,445,83,0.186516854
130,"Jackson city, Missouri",29,35648,13543,3820,0.282064535
131,"Iron Mountain Lake city, Missouri",29,35450,737,138,0.18724559
132,"Ironton city, Missouri",29,35468,1412,496,0.351274788
133,"Irwin CDP, Missouri",29,35486,69,10,0.144927536
134,"Jacksonville village, Missouri",29,36224,151,15,0.099337748
135,"Jameson town, Missouri",29,36314,133,60,0.45112782
136,"Jamesport city, Missouri",29,36332,524,195,0.372137405
137,"Jamestown town, Missouri",29,36368,386,85,0.220207254
138,"Jasper city, Missouri",29,36512,931,297,0.319011815
139,"Jefferson City city, Missouri",29,37000,38115,14288,0.374865539
140,"Josephville village, Missouri",29,37700,376,27,0.071808511
141,"Jennings city, Missouri",29,37178,14672,6201,0.422641767
142,"Jerico Springs village, Missouri",29,37214,228,40,0.175438596
143,"Joplin city, Missouri",29,37592,48162,21086,0.437814044
144,"Junction City village, Missouri",29,37736,327,200,0.611620795
145,"Kahoka city, Missouri",29,37790,1988,609,0.306338028
146,"Kansas City city, Missouri",29,38000,450975,183460,0.406807473
147,"Kearney city, Missouri",29,38072,8381,1699,0.202720439
148,"Kelso village, Missouri",29,38216,586,79,0.134812287
149,"Three Forks city, Montana",30,73975,1862,500,0.268528464
150,"Toston CDP, Montana",30,74500,108,18,0.166666667
151,"Townsend city, Montana",30,74575,1826,529,0.289704272
152,"Trego CDP, Montana",30,74725,539,114,0.211502783
153,"Trout Creek CDP, Montana",30,74950,242,63,0.260330579
154,"Troy city, Montana",30,75025,938,323,0.34434968
155,"Turah CDP, Montana",30,75175,306,55,0.179738562
156,"Turner CDP, Montana",30,75250,61,19,0.31147541
157,"Turtle Lake CDP, Montana",30,75287,209,144,0.688995215
158,"Vaughn CDP, Montana",30,76675,658,100,0.151975684
159,"Twin Bridges town, Montana",30,75475,375,84,0.224
160,"Ulm CDP, Montana",30,75775,639,68,0.106416275
161,"Valier town, Montana",30,76225,509,117,0.229862475
162,"Victor CDP, Montana",30,76900,745,281,0.377181208
163,"Virginia City town, Montana",30,77125,190,40,0.210526316
164,"Walkerville town, Montana",30,77650,675,134,0.198518519
165,"Weeksville CDP, Montana",30,78775,83,9,0.108433735
166,"Westby town, Montana",30,78925,168,38,0.226190476
167,"West Glacier CDP, Montana",30,79075,227,47,0.207048458
168,"West Yellowstone town, Montana",30,79525,1271,744,0.585365854
169,"West Glendive CDP, Montana",30,79086,1948,295,0.151437372
170,"West Havre CDP, Montana",30,79098,316,35,0.110759494
171,"West Kootenai CDP, Montana",30,79105,365,65,0.178082192
172,"Wheatland CDP, Montana",30,79695,568,65,0.11443662
173,"Whitefish city, Montana",30,79825,6264,2766,0.441570881
174,"Whitehall town, Montana",30,79900,1038,353,0.340077071
175,"White Haven CDP, Montana",30,79935,577,142,0.24610052
176,"White Sulphur Springs city, Montana",30,80050,922,210,0.227765727
177,"Whitewater CDP, Montana",30,80200,64,40,0.625
178,"Wibaux town, Montana",30,80350,565,162,0.286725664
179,"Willow Creek CDP, Montana",30,80800,210,88,0.419047619
180,"Prescott city, Arizona",4,57380,37835,12846,0.339526893
181,"Queen Valley CDP, Arizona",4,58290,788,68,0.086294416
182,"Prescott Valley town, Arizona",4,57450,38613,14113,0.365498666
183,"Quartzsite town, Arizona",4,58010,3595,598,0.166342142
184,"Queen Creek town, Arizona",4,58150,26345,5416,0.205579806
185,"Rainbow City CDP, Arizona",4,58620,968,352,0.363636364
186,"Rancho Mesa Verde CDP, Arizona",4,58870,625,193,0.3088
187,"Red Mesa CDP, Arizona",4,59550,480,419,0.872916667
188,"Red Rock CDP (Apache County), Arizona",4,59760,169,12,0.071005917
189,"Red Rock CDP (Pinal County), Arizona",4,59770,2169,259,0.119409866
190,"Rillito CDP, Arizona",4,59900,97,40,0.412371134
191,"Rincon Valley CDP, Arizona",4,60120,5139,389,0.075695661
192,"Rio Rico CDP, Arizona",4,60180,18962,3381,0.178303976
193,"Roosevelt CDP, Arizona",4,61300,20,5,0.25
194,"Rio Verde CDP, Arizona",4,60250,1811,39,0.021535064
195,"Rock House CDP, Arizona",4,60770,50,3,0.06
196,"Rock Point CDP, Arizona",4,60880,642,135,0.210280374
197,"Rough Rock CDP, Arizona",4,61370,414,153,0.369565217
198,"Round Rock CDP, Arizona",4,61440,789,105,0.133079848
199,"Round Valley CDP, Arizona",4,61448,474,54,0.113924051
200,"Rye CDP, Arizona",4,61690,74,29,0.391891892
201,"Sacate Village CDP, Arizona",4,61715,169,117,0.692307692
202,"Sacaton CDP, Arizona",4,61720,2450,1211,0.494285714
203,"Sacaton Flats Village CDP, Arizona",4,61800,541,129,0.23844732
204,"Sahuarita town, Arizona",4,62140,25196,4409,0.174988093
205,"Saddlebrooke CDP, Arizona",4,61940,9612,384,0.039950062
206,"St. Johns city, Arizona",4,62350,3375,846,0.250666667
207,"Safford city, Arizona",4,62000,9322,2987,0.320424802
208,"St. David CDP, Arizona",4,62280,1699,441,0.25956445
209,"St. Johns CDP, Arizona",4,62362,476,111,0.233193277
210,"St. Michaels CDP, Arizona",4,62420,1379,150,0.108774474
211,"Salome CDP, Arizona",4,62700,1530,248,0.162091503
212,"San Carlos CDP, Arizona",4,62910,4038,1093,0.270678554
