GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C02_001E,S1901_C02_001M,S1901_C03_001E,S1901_C03_001M,S1901_C04_001E,S1901_C04_001M,S1901_C01_002E,S1901_C01_002M,S1901_C02_002E,S1901_C02_002M,S1901_C03_002E,S1901_C03_002M,S1901_C04_002E,S1901_C04_002M,S1901_C01_003E,S1901_C01_003M,S1901_C02_003E,S1901_C02_003M,S1901_C03_003E,S1901_C03_003M,S1901_C04_003E,S1901_C04_003M,S1901_C01_004E,S1901_C01_004M,S1901_C02_004E,S1901_C02_004M,S1901_C03_004E,S1901_C03_004M,S1901_C04_004E,S1901_C04_004M,S1901_C01_005E,S1901_C01_005M,S1901_C02_005E,S1901_C02_005M,S1901_C03_005E,S1901_C03_005M,S1901_C04_005E,S1901_C04_005M,S1901_C01_006E,S1901_C01_006M,S1901_C02_006E,S1901_C02_006M,S1901_C03_006E,S1901_C03_006M,S1901_C04_006E,S1901_C04_006M,S1901_C01_007E,S1901_C01_007M,S1901_C02_007E,S1901_C02_007M,S1901_C03_007E,S1901_C03_007M,S1901_C04_007E,S1901_C04_007M,S1901_C01_008E,S1901_C01_008M,S1901_C02_008E,S1901_C02_008M,S1901_C03_008E,S1901_C03_008M,S1901_C04_008E,S1901_C04_008M,S1901_C01_009E,S1901_C01_009M,S1901_C02_009E,S1901_C02_009M,S1901_C03_009E,S1901_C03_009M,S1901_C04_009E,S1901_C04_009M,S1901_C01_010E,S1901_C01_010M,S1901_C02_010E,S1901_C02_010M,S1901_C03_010E,S1901_C03_010M,S1901_C04_010E,S1901_C04_010M,S1901_C01_011E,S1901_C01_011M,S1901_C02_011E,S1901_C02_011M,S1901_C03_011E,S1901_C03_011M,S1901_C04_011E,S1901_C04_011M,S1901_C01_012E,S1901_C01_012M,S1901_C02_012E,S1901_C02_012M,S1901_C03_012E,S1901_C03_012M,S1901_C04_012E,S1901_C04_012M,S1901_C01_013E,S1901_C01_013M,S1901_C02_013E,S1901_C02_013M,S1901_C03_013E,S1901_C03_013M,S1901_C04_013E,S1901_C04_013M,S1901_C01_014E,S1901_C01_014M,S1901_C02_014E,S1901_C02_014M,S1901_C03_014E,S1901_C03_014M,S1901_C04_014E,S1901_C04_014M,S1901_C01_015E,S1901_C01_015M,S1901_C02_015E,S1901_C02_015M,S1901_C03_015E,S1901_C03_015M,S1901_C04_015E,S1901_C04_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_016E,S1901_C02_016M,S1901_C03_016E,S1901_C03_016M,S1901_C04_016E,S1901_C04_016M
1600000US0673430,"South Whittier CDP, California",15783,1286,13206,1434,N,N,2577,724,4.3,2.8,2.9,2.4,N,N,11.8,11.3,2.1,1.6,2.1,1.9,N,N,1.9,3.2,5.4,2.7,3.2,1.7,N,N,16.5,12.6,4.1,1.9,3.1,2,N,N,8.8,6.8,10.2,3.8,9.6,4.1,N,N,17.9,9.9,17.3,4.2,15.5,4.2,N,N,24,13.1,14.4,4.6,17.2,5,N,N,8.9,10.2,24.8,5.5,28.4,6,N,N,6.6,6.5,12.1,3.4,11.7,3.7,N,N,3.6,4.4,5.3,2.9,6.3,3.5,N,N,0,6.9,87822,11215,95166,6695,105155,10559,47198,7734,95537,8368,102145,9103,N,N,50505,10738,49.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),50.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.2,(X)
1600000US1224000,"Fort Lauderdale city, Florida",75144,3654,38835,2066,25496,2282,36309,3539,6.6,1.7,4.2,2.2,2,1.2,9.3,3,5.1,1.6,3.4,2.2,0.4,0.5,7.8,2.8,10.2,2.2,8.5,2.9,7,3.9,11.9,3.2,7.1,1.4,8.1,2.4,5.6,2.2,7.1,2.1,12.8,2.1,11.8,3.1,9,2.9,13.3,3.2,16.9,2.3,18.1,4.1,14.9,4.4,15,3.4,9.2,1.8,10.2,2.4,12.4,3.4,7.8,2.5,15.2,2.4,16,2.6,22.5,4,14.4,3.8,6.1,1.5,6.3,1.7,8.5,2.4,6.5,2.6,10.6,1.7,13.4,2.9,17.6,3.9,7,2.1,59290,3864,67128,10527,95254,14656,51028,6113,102320,9861,125247,17842,N,N,76652,6201,33.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X)
1600000US1224125,"Fort Myers city, Florida",30937,2197,16507,1434,N,N,14430,2121,7.7,2.4,3.3,2.5,N,N,13.6,4.2,5.6,2.1,1.7,1.3,N,N,10,4.2,16.6,4.3,12.7,4.4,N,N,21.8,6.7,11.3,2.9,10.6,4.6,N,N,13.3,5.5,17.1,3.8,21.1,5.6,N,N,12.4,4.2,13.1,3.2,16.1,4.8,N,N,8.8,3.7,10.3,2.4,12.4,3.6,N,N,6.3,3.7,10.5,2.9,10.3,3.4,N,N,10.6,5.4,2.8,1.4,4.4,2.4,N,N,1.1,1.1,5,1.9,7.4,3.3,N,N,2.2,2,41742,3634,51153,7899,71914,5954,27316,7362,67192,7207,80107,9673,N,N,50789,10386,31.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.8,(X)
1600000US1258715,"Port St. Lucie city, Florida",68178,3022,51239,3368,N,N,16939,3133,4.8,2.1,2.5,2.2,N,N,11.8,5.1,3,1.8,0.9,0.7,N,N,10.3,6.6,6.1,1.7,5.7,2.2,N,N,10.4,4.9,11.1,3.3,11.9,4.1,N,N,11,4.7,13.8,3.4,10.6,2.8,N,N,24.3,9.3,23.4,4.4,23.7,5,N,N,17.8,5.3,15,2.4,17.9,3,N,N,5.4,3.1,15.1,3.2,19.6,4.4,N,N,5.7,3.7,3.4,1.4,3.2,1.6,N,N,1.2,1.3,4.5,2,4,2.1,N,N,2.1,2.8,60813,5811,67290,4109,76619,4995,40607,5080,75534,6937,81647,8002,N,N,47840,7648,34.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.4,(X)
1600000US1380508,"Warner Robins city, Georgia",29566,2051,18343,2094,N,N,11223,2273,3.5,2.2,2.4,2.1,N,N,6.1,4.8,4.8,2.4,1.5,1.7,N,N,10.3,6.1,6.2,2.3,5,2.7,N,N,9,5.1,13.7,4.3,9.2,4.2,N,N,19.8,8.6,19.2,5.9,12.8,6.2,N,N,29.4,11.6,15.5,4.4,17.7,5.5,N,N,11.8,5.6,8.7,3.9,10.7,5.3,N,N,5.3,4.8,15.3,5.3,19.8,7.1,N,N,7.8,7.8,4.4,2.8,6.8,4.5,N,N,0.5,1,8.7,6.5,14.1,10,N,N,0,1.9,53029,10812,76357,15373,94743,31330,37630,4615,82924,15083,106143,21410,N,N,44714,8650,39.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),39.7,(X)
1600000US1608830,"Boise City city, Idaho",97101,2713,54101,2585,43064,2383,43000,3257,8.2,1.7,4.5,1.9,2.9,1.5,13.6,3,2.6,0.9,1.3,0.8,1,0.7,4.7,1.9,9.1,1.7,4.4,2.2,2.4,1.8,14.9,3.1,9.3,1.8,7.9,2.3,7.5,2.6,11.6,2.7,15.1,2.4,14.4,3,12.1,3.3,16.4,3.3,19.8,2,18.4,2.6,18.1,3,21.9,3.7,11.1,1.6,13.5,2.6,14.1,2.9,7.6,2,12.5,1.7,16.3,2.5,18.8,2.9,6,2,6.2,1.2,10.7,2,12.7,2.5,0.9,0.8,6.1,1,8.7,1.8,10.4,2.2,2.3,1.1,56681,3840,73317,6465,82983,8572,38078,4279,77489,3818,96939,5865,N,N,49560,3862,25.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),23,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X)
1600000US1770122,"Skokie village, Illinois",22649,1535,15890,806,N,N,6759,1733,7.5,5.1,1.2,1.2,N,N,22.8,14.1,1.4,1,0.7,0.9,N,N,2.4,2.3,8.2,3.5,4.7,2.7,N,N,16.5,8.9,6.7,2.9,6.1,3.2,N,N,9.5,7.2,15.4,4,15,4.8,N,N,16.3,8.9,14.5,3.7,17.6,4.5,N,N,9,5,9.4,3,8.4,3,N,N,11.7,6.3,19.4,4.5,24.9,5.8,N,N,6.1,3.5,10.1,2.7,11.9,3.3,N,N,3.7,3.1,7.3,2,9.4,2.6,N,N,1.9,1.8,67487,9008,87005,18499,101718,10627,34004,7889,94976,9565,112535,10181,N,N,49509,10823,32.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.6,(X)
1600000US2079000,"Wichita city, Kansas",154512,2950,92115,2495,64428,2558,62397,3158,6.8,1.2,3.8,1,1.3,0.8,12,2.4,4.6,0.8,2.5,1.1,1.4,0.8,8.4,1.6,12.1,1.4,8,1.6,4.3,1.4,18.6,2.4,10.9,1.3,9.8,1.7,7.1,1.5,14,2.4,14.3,1.3,13.3,1.5,11.2,1.6,16.3,2.2,19,1.7,20.7,2.4,21.9,2.6,15.5,2.2,11.5,1.4,13.6,1.9,16.2,2.5,8.3,1.9,11.7,1.1,16.2,1.8,20.7,2.3,3.3,1,5.1,0.8,6.9,1,9.1,1.4,1.8,0.8,4,0.8,5.3,1,6.7,1.3,1.9,1.2,51051,1726,65261,2922,79796,3821,32337,2640,70740,2785,84670,3796,99622,4738,46598,4376,29.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.3,(X)
1600000US3251800,"North Las Vegas city, Nevada",78774,3099,54734,2039,37097,2162,24040,2596,5.9,1.2,2.8,1.1,0.6,0.7,14.8,3.7,3.9,1.4,2.3,1.2,1.4,1.6,7.3,3.9,8.7,1.9,8,2.2,5,2,13,3.9,10.3,2,7.7,2,5.7,1.9,16.7,4.5,15.5,2.3,14.7,2.5,14.9,2.8,17.3,4.4,19.7,2.2,21.3,2.6,20.3,3.1,15,4.3,13.1,2.1,15.8,2.6,18.7,3.5,6.3,2.7,14.7,2.2,17,2.6,21.5,3.5,7.4,3.6,6.2,1.6,7.8,2,8.7,2.4,1.6,1.8,2,0.8,2.6,1,3.2,1.4,0.7,0.7,55470,4334,64778,4635,77033,4193,33382,4341,71234,4050,79450,5428,89113,6332,46667,6030,40.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),42,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.3,(X)
1600000US3345140,"Manchester city, New Hampshire",44286,2090,24852,1363,16693,1392,19434,2168,6.2,1.7,4.5,2,1.8,1.8,9.3,3.1,4,1.3,1.2,1.2,1,1.2,7.7,2.6,7.4,1.8,6.8,2.7,2.5,1.7,8.8,2.9,10.5,2.4,7.9,3.7,4.6,2.7,14.5,3.9,13,2.1,11.5,3.3,11,4,16.2,3.8,19.6,2.9,22.3,4.1,22.2,5,17.9,4.3,15.8,2.8,14.8,3.5,15.9,4,15.8,4.1,15.5,2.6,19.4,4.1,24.7,5.1,7.2,2.6,4.8,1.5,7.9,2.4,10.8,3.3,1,0.8,3.1,1,3.7,1.6,5.5,2.4,1.6,1,60232,3746,67223,4995,87505,7293,42120,4565,73203,3914,83235,5008,N,N,55338,5640,24.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.7,(X)
1600000US4827000,"Fort Worth city, Texas",308188,5602,208389,4618,139225,4964,99799,5600,6.5,0.8,5.3,0.9,1.7,0.6,10.9,1.6,4.6,0.8,3.1,1,1.7,0.6,8.1,1.5,9.2,1.2,6.8,1,4.2,1,14.3,2.3,10,1.1,9.1,1.4,7.1,1.3,12.4,1.9,12.8,1.1,12.7,1.4,10.9,1.7,14.4,2.2,17.5,1.3,17.8,1.6,16.9,1.6,15.8,2.2,13.6,1.1,15,1.4,17,2,9.6,1.7,14.1,1.4,16,1.7,20.5,2.3,9,1.7,6,0.7,7.4,1,10.5,1.5,2.3,1,5.7,0.7,6.8,0.8,9.5,1.3,3.1,1.1,58448,2276,66765,3424,83864,3249,37350,3596,81165,2592,90876,3292,109598,4012,55815,3678,28.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.2,(X)
1600000US4829336,"Georgetown city, Texas",28062,1962,19290,1624,N,N,8772,1827,2.2,1.2,0.7,0.8,N,N,5.4,3.6,3.2,1.7,0.9,1.1,N,N,8.3,4.9,2.8,1.7,3,2,N,N,3.6,2.9,9.9,3.7,4.8,2.9,N,N,21.2,7.6,12.4,4.1,13.3,5,N,N,11.9,6.3,20.8,4.5,19.9,5.8,N,N,21.9,7.1,14.7,3.6,15.8,3.7,N,N,12.2,6.5,16.9,3.5,19.1,4.4,N,N,11,5,8.7,2.7,11.8,3.9,N,N,2,1.9,8.5,2.5,10.6,3.4,N,N,2.6,2.7,71113,9711,87352,7089,93489,11383,49474,13466,95714,8705,107129,9938,N,N,62509,9394,29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.2,(X)
1600000US4876000,"Waco city, Texas",48032,1845,28570,1696,N,N,19462,2020,14.7,2.2,10,2.9,N,N,24.6,4.4,7.6,2.2,5.8,2.3,N,N,11,4.1,13.1,3,8,3.1,N,N,19.5,5,9.8,2.3,11.9,3.3,N,N,10.5,3.4,13.9,2.3,14.1,3.4,N,N,10.3,3.6,16.9,2.7,20.2,4,N,N,11.6,3.4,11.4,2.7,12.7,3.3,N,N,7.7,3.9,8,1.9,11,3,N,N,3.5,1.7,2.5,1,3.6,1.5,N,N,0.9,0.9,2,0.9,2.8,1.4,N,N,0.5,0.6,39714,2777,50366,5601,66578,11575,21928,2568,52754,3506,62899,4541,N,N,34368,3924,30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.6,(X)
1600000US5101000,"Alexandria city, Virginia",71740,1543,35480,2096,N,N,36260,1927,4.1,1.4,3.7,2,N,N,5.7,2.2,2.4,1.1,2,1.6,N,N,2.6,1.6,4.6,1.5,4.3,2.1,N,N,4.8,2.2,4.6,1.3,4.7,1.9,N,N,4.7,2.2,7.2,1.5,6,2,N,N,7.9,2.2,13.7,2.2,10.3,2.6,N,N,16.9,3.1,12.7,2.2,9.7,2.5,N,N,15.9,3.7,19.3,2.2,16,3,N,N,22.8,3.5,13.4,1.9,16.8,3,N,N,9.5,2.2,17.9,1.7,26.7,2.9,N,N,9.3,2.2,101215,6379,125680,13366,161250,12846,84312,7116,131988,5672,161290,10198,N,N,102077,7016,25.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.3,(X)
1600000US0455000,"Phoenix city, Arizona",574645,7444,363791,5498,233993,6817,210854,7733,5.7,0.6,4.2,0.5,1.9,0.4,9.9,1.3,3.5,0.4,2.5,0.5,1.2,0.4,6,1,9.6,0.7,7.7,0.7,5.1,0.8,14.3,1.3,9.3,0.7,8.3,0.8,5.5,0.8,11.7,1.3,14.5,0.8,13.4,1.2,10.9,1.2,16.6,1.1,18.4,0.8,18.6,1,18.4,1.1,17.3,1.4,13.5,0.8,15.1,1,16.9,1.3,9.8,1.1,13.9,0.7,15.9,0.8,20,1.1,8.9,1,5.6,0.5,6.9,0.7,9.6,1.1,2.8,0.7,6,0.5,7.5,0.6,10.4,0.9,2.8,0.6,57957,1430,67557,2292,84207,1896,41306,1374,80246,1525,90214,2253,108821,3170,57457,2134,39.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.6,(X)
1600000US0600562,"Alameda city, California",30724,1435,19696,1170,N,N,11028,1378,4.7,1.9,4,2.1,N,N,5.9,3.4,2,1.1,0.8,0.9,N,N,4.1,2.8,5.6,2.2,2.7,1.9,N,N,11,5.3,6.7,2.1,5.3,2.5,N,N,9.9,4.6,6.2,2.4,4.7,2.9,N,N,8.7,4.2,13.1,2.9,9.6,3,N,N,20.1,6.3,7.5,2.1,8.8,2.9,N,N,6.9,3.7,16.9,2.7,16.8,3.4,N,N,16,4.4,16.4,3.4,18.3,4.2,N,N,11.9,4.2,20.9,3.4,29.1,4.8,N,N,5.5,2.5,114750,13070,140596,10938,154781,16519,64418,6453,133811,9054,157536,12243,N,N,85617,10044,30.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.2,(X)
1600000US0611964,"Castro Valley CDP, California",20371,1379,15614,1131,N,N,4757,1048,2.9,1.4,2.2,1.5,N,N,5.3,4.7,1.4,1.3,0,1.2,N,N,6.1,5.2,4.9,2.4,3.5,2.9,N,N,9.6,5.3,4.7,2.5,0.6,0.9,N,N,18.3,9.4,6.2,2.3,6,2.6,N,N,7.9,4.9,8.6,2.7,8.6,3.2,N,N,9.9,5.1,12.9,3,13.5,3.6,N,N,8.2,5.4,18.1,3.8,18.8,4.4,N,N,18.5,7.6,12,3.6,11.8,4.2,N,N,11.5,6.4,28.3,4.4,35,5.2,N,N,4.5,3.9,116325,10850,143432,15794,161446,28459,54298,18597,150493,10777,171012,11619,N,N,75333,12188,33.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.5,(X)
1600000US0812815,"Centennial city, Colorado",38549,1587,28904,1129,N,N,9645,1340,1.3,0.7,0.5,0.4,N,N,4,2.4,1.2,0.7,0.7,0.7,N,N,2.7,2.1,2.9,1.2,1.5,0.8,N,N,7.2,4.2,4,1.3,2.4,1.1,N,N,9.8,4.5,7.2,1.8,5.9,2.1,N,N,12.1,4.5,14.6,2.8,12.1,3.1,N,N,23.2,5.2,13.5,2.6,13,2.9,N,N,14.9,5.3,25,3,26.4,3.6,N,N,19.2,6.2,14.6,2.3,17.9,3.1,N,N,4.3,2.3,15.8,2.3,19.8,2.9,N,N,2.5,1.7,110443,5661,125226,7600,135993,7345,63950,10913,131519,6312,148648,7884,N,N,75398,6906,26.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.6,(X)
1600000US1902305,"Ankeny city, Iowa",25445,1747,16170,1370,N,N,9275,1993,0.8,0.8,0.4,0.7,N,N,1.5,1.9,2.2,1.4,0.5,0.8,N,N,5.3,3.6,3.6,2.5,0.8,1,N,N,8.4,6.5,6.7,2.8,2.1,1.3,N,N,14.9,7.3,12.4,5.3,4.5,3.1,N,N,26.2,12,24.7,6.1,24.3,7.5,N,N,27.3,9.4,12.7,3.3,15.1,5,N,N,9.2,5.8,20.8,6.1,28.8,9,N,N,4.1,3.2,8.2,3.8,11.2,5.3,N,N,3,4.6,7.8,3.5,12.3,5.6,N,N,0,1.2,74701,9589,101624,10363,104611,15485,44207,6652,95556,8577,119383,11619,N,N,52836,6729,30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X)
1600000US2241155,"Lake Charles city, Louisiana",32981,1842,17486,1535,N,N,15495,1885,8.5,3,6.2,3.5,N,N,11.1,4.9,5.8,2.3,3.4,2.9,N,N,9.1,3.8,18.1,4.5,13.6,5.3,N,N,25,7.8,8.7,3.3,7.4,3.1,N,N,11,5.6,14.6,3.9,16.2,5.2,N,N,12.6,4.8,18.2,3.7,14.7,5,N,N,20,5.5,8.7,2.7,10.8,3.7,N,N,5.3,3.3,10,3.7,16.5,6.6,N,N,2.7,2.3,3.9,1.7,6.3,2.9,N,N,1.3,1.3,3.7,1.6,5,2.5,N,N,1.9,1.6,43546,4246,58583,14398,86725,25833,29421,7893,62652,6113,78260,9456,N,N,43164,5984,60.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),53.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),67.5,(X)
1600000US2634000,"Grand Rapids city, Michigan",75472,2600,42663,1860,28222,1872,32809,2327,9.3,2.1,6.5,2.3,1.4,1.1,13.6,3.3,4.1,1.1,0.8,0.5,0.4,0.5,8.5,2.5,10.2,2.1,8,2.5,2.7,1.4,15,4,8.9,1.3,9.1,2,5.7,1.8,9.2,2.1,16.2,2.1,13.4,2.6,10.4,2.6,19.7,3.7,19.6,2.3,21.3,3.2,25.5,4.2,16.5,3.2,12.7,1.8,16.5,2.5,20.7,3.2,7.6,2.2,11.6,1.6,14.9,2.4,19.2,3.2,6.1,1.6,3.1,1,4.3,1.5,6.3,2.3,0.9,0.5,4.2,1.1,5.3,1.7,7.7,2.4,2.9,1.4,51226,3444,63211,4227,80028,4699,38063,3765,68530,3575,79308,4706,N,N,51501,5398,32.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.3,(X)
1600000US0613014,"Chico city, California",37100,1662,17973,1408,N,N,19127,1562,7.5,2.1,6.4,3.3,N,N,10,2.8,5.9,1.8,2.8,1.5,N,N,10.6,3.5,12.2,2.7,10.6,3.9,N,N,16.1,4.1,11.4,2.6,9,3.7,N,N,10.6,3.7,11.5,2.7,9.2,3.6,N,N,12.9,3.8,16.8,3.1,16.8,4.4,N,N,17.2,4,8.7,2.5,10.4,3.5,N,N,7,3.6,13.3,2.9,17.1,3.8,N,N,8.4,3.9,7.2,2,10.1,3.3,N,N,4.6,2.1,5.4,1.6,7.6,2.9,N,N,2.6,1.5,51419,5441,67992,10806,98947,10619,37285,3943,74374,6077,88173,9154,N,N,57973,8385,39.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),43.1,(X)
1600000US0616532,"Costa Mesa city, California",40295,1976,23844,1393,N,N,16451,2283,6,2.3,4.3,1.8,N,N,8.8,5,2.8,1.2,0.8,1,N,N,5.8,2.7,5.3,1.5,5.9,2.8,N,N,7.5,2.9,3.9,1.6,4,2.2,N,N,4.7,2.5,8.4,2.4,8.7,2.8,N,N,8.8,3.4,17.7,3.1,15.8,3.7,N,N,18.3,5.3,15.7,3.2,13,3.6,N,N,18.9,5.8,17,3.4,21.3,4.7,N,N,10.4,3.7,10.5,2.4,11.3,3.2,N,N,8.5,3.7,12.7,2.2,14.9,3.3,N,N,8.4,3.4,80502,4666,92279,11528,107128,11721,70511,12002,112522,9093,121757,10156,N,N,92282,18027,37.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.7,(X)
1600000US0622020,"Elk Grove city, California",53620,2139,43338,1590,N,N,10282,1584,4.5,1.8,2.7,1.7,N,N,12.2,6.4,0.8,0.5,0.8,0.7,N,N,2.7,2.3,5.3,1.7,4.2,1.8,N,N,10.9,4.6,5.9,1.9,5.3,2.1,N,N,10.2,4.3,8.2,2,7.8,2.4,N,N,7.3,3.7,14.8,2.7,14.5,2.9,N,N,18.2,5,14.5,2.7,15,3.3,N,N,16.2,5.5,25.1,2.8,26.7,3.3,N,N,15.6,4.9,12.3,2.2,13.2,2.8,N,N,4.4,2.8,8.5,1.8,9.8,2.1,N,N,2.4,1.9,91820,6458,99581,6759,113061,8661,58834,8151,109465,6664,116036,8175,N,N,71562,14107,31,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.8,(X)
1600000US0955990,"Norwalk city, Connecticut",35333,1803,20730,1199,N,N,14603,1919,5.7,2,1.2,1,N,N,12.3,4.9,2.5,1.2,1.6,1.1,N,N,3.7,2.5,7.1,1.8,5.2,2.5,N,N,9.5,3.2,7.4,2.4,5.9,3.2,N,N,11.4,4.7,8.7,2.2,12.2,3.4,N,N,5.7,2.4,16.5,3.4,14.5,4,N,N,16.7,4.2,12.3,2.7,11.8,3.5,N,N,13.1,4.2,15.2,2.8,17.2,4,N,N,11.5,3.7,8.9,2.3,10.8,3.2,N,N,5.6,2.8,15.7,2.7,19.5,3.7,N,N,10.4,4.7,80338,7948,91461,16071,117325,24789,56796,12057,119520,9342,138781,14124,N,N,89481,16404,39.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35,(X)
1600000US1212875,"Clearwater city, Florida",48704,2671,25051,1785,N,N,23653,2664,9.5,2.9,5.8,3.1,N,N,13.5,5.5,6,2.1,1.4,1.1,N,N,11,4.2,12.1,2.8,9.2,4.3,N,N,15,3.8,11.7,2.3,9.5,3.1,N,N,16.9,4.4,14.9,2.8,14,3.3,N,N,15.1,4,16.5,2.8,19.4,4.3,N,N,12.8,2.8,12.6,2.7,16.4,3.6,N,N,7.7,3.2,10.2,2,14.3,3,N,N,5,2.3,3.5,1.3,5.3,2.2,N,N,1.5,1,3.1,1,4.6,1.6,N,N,1.5,0.9,45764,4590,65282,7500,77966,7004,30615,4301,65673,4631,84486,7443,N,N,44253,5746,37.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),41,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.4,(X)
1600000US1255775,"Pembroke Pines city, Florida",56934,3127,39607,2029,30329,2280,17327,3098,14.7,3.5,6.3,3.2,5.5,3.8,34.1,8.4,1.8,0.8,1,0.8,1,0.9,3.5,2.4,6,1.7,5.4,2.2,4.5,2.5,8.5,3.6,7.6,2.3,6.4,2.4,5,2.3,10.3,4.4,12,2.5,13,3.1,12.6,3.5,11.2,5.5,14.6,2.7,14.1,3.3,11.2,3,16.3,5.7,13.4,2.7,16.2,3.5,17.6,4,5.7,2.4,17.3,2.6,20.8,3.3,22.2,3.6,8.1,4.2,6.8,1.5,8.8,2.2,10.5,2.7,1.8,1.5,5.8,1.6,7.9,2.2,10,2.8,0.5,0.6,60825,7852,80288,8370,91319,10287,29135,7102,80208,5998,95833,7220,N,N,40340,6306,30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.3,(X)
1600000US1367284,"Roswell city, Georgia",35856,2019,25179,1425,N,N,10677,1748,1.6,1.1,1.2,1.2,N,N,2.6,2.4,1,0.8,0,0.8,N,N,3.4,2.7,6.6,2.7,3.3,2.6,N,N,14.4,6.8,5.5,2,6,3,N,N,6.9,3.8,11.1,3.1,9.8,4.4,N,N,13.4,6.1,14.7,2.8,10.6,3.5,N,N,24,7,6.5,2.4,5.5,2.5,N,N,7.9,5.2,17.1,3.6,18.3,4,N,N,14.8,7.3,14.8,3.6,18.3,4.6,N,N,6.5,4.4,21.2,3.3,27.1,4.2,N,N,6.1,3.9,108616,12646,134535,16803,156940,9531,57478,10000,139433,10401,165573,14081,N,N,74525,9643,28,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),18.8,(X)
