GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C02_001E,S1901_C02_001M,S1901_C03_001E,S1901_C03_001M,S1901_C04_001E,S1901_C04_001M,S1901_C01_002E,S1901_C01_002M,S1901_C02_002E,S1901_C02_002M,S1901_C03_002E,S1901_C03_002M,S1901_C04_002E,S1901_C04_002M,S1901_C01_003E,S1901_C01_003M,S1901_C02_003E,S1901_C02_003M,S1901_C03_003E,S1901_C03_003M,S1901_C04_003E,S1901_C04_003M,S1901_C01_004E,S1901_C01_004M,S1901_C02_004E,S1901_C02_004M,S1901_C03_004E,S1901_C03_004M,S1901_C04_004E,S1901_C04_004M,S1901_C01_005E,S1901_C01_005M,S1901_C02_005E,S1901_C02_005M,S1901_C03_005E,S1901_C03_005M,S1901_C04_005E,S1901_C04_005M,S1901_C01_006E,S1901_C01_006M,S1901_C02_006E,S1901_C02_006M,S1901_C03_006E,S1901_C03_006M,S1901_C04_006E,S1901_C04_006M,S1901_C01_007E,S1901_C01_007M,S1901_C02_007E,S1901_C02_007M,S1901_C03_007E,S1901_C03_007M,S1901_C04_007E,S1901_C04_007M,S1901_C01_008E,S1901_C01_008M,S1901_C02_008E,S1901_C02_008M,S1901_C03_008E,S1901_C03_008M,S1901_C04_008E,S1901_C04_008M,S1901_C01_009E,S1901_C01_009M,S1901_C02_009E,S1901_C02_009M,S1901_C03_009E,S1901_C03_009M,S1901_C04_009E,S1901_C04_009M,S1901_C01_010E,S1901_C01_010M,S1901_C02_010E,S1901_C02_010M,S1901_C03_010E,S1901_C03_010M,S1901_C04_010E,S1901_C04_010M,S1901_C01_011E,S1901_C01_011M,S1901_C02_011E,S1901_C02_011M,S1901_C03_011E,S1901_C03_011M,S1901_C04_011E,S1901_C04_011M,S1901_C01_012E,S1901_C01_012M,S1901_C02_012E,S1901_C02_012M,S1901_C03_012E,S1901_C03_012M,S1901_C04_012E,S1901_C04_012M,S1901_C01_013E,S1901_C01_013M,S1901_C02_013E,S1901_C02_013M,S1901_C03_013E,S1901_C03_013M,S1901_C04_013E,S1901_C04_013M,S1901_C01_014E,S1901_C01_014M,S1901_C02_014E,S1901_C02_014M,S1901_C03_014E,S1901_C03_014M,S1901_C04_014E,S1901_C04_014M,S1901_C01_015E,S1901_C01_015M,S1901_C02_015E,S1901_C02_015M,S1901_C03_015E,S1901_C03_015M,S1901_C04_015E,S1901_C04_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_016E,S1901_C02_016M,S1901_C03_016E,S1901_C03_016M,S1901_C04_016E,S1901_C04_016M
1600000US3502000,"Albuquerque city, New Mexico",228491,3231,129769,4255,84218,3381,98722,4351,9.3,1.1,5.9,1.2,1.7,0.7,14.9,2,5.6,0.9,3.7,1.1,1.8,0.7,8.6,1.5,10,1.1,6.9,1.4,3.9,1.1,14.6,1.8,10.3,0.9,8.4,1.3,4.7,1.1,13.5,2,13.7,1.2,12.2,1.7,10.5,1.9,15.3,1.8,17.8,1.3,19.7,1.9,20.2,2.2,15.4,1.9,10.8,1,12.9,1.3,15,1.8,6.9,1.2,13.4,1.1,17.4,1.7,23.6,2.4,7,1.4,4.6,0.6,6.6,0.9,9.2,1.4,1.8,0.6,4.5,0.6,6.4,1,9.4,1.6,1.9,0.6,51099,1724,64835,3161,85336,3454,33240,2502,71289,2802,86356,4658,107746,6496,48663,2612,29.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.1,(X)
1600000US4147000,"Medford city, Oregon",33388,1546,20689,1603,N,N,12699,1838,6.7,2,5.6,2.7,N,N,11.6,4.3,3.8,1.6,0.3,0.6,N,N,10,4,11.8,3.4,10.4,4.6,N,N,13.6,4.6,9.4,2.6,7.3,2.7,N,N,13.4,5.6,16.4,4.3,16.7,4.4,N,N,19.4,7.1,21.3,3.4,19.7,4.3,N,N,20.1,4.8,10.7,3.1,12.6,4.2,N,N,6.1,3.9,12.5,3.4,16.1,4.6,N,N,4.7,2.7,4.7,1.9,7.2,3,N,N,0.6,0.7,2.7,1.3,4,2,N,N,0.4,0.7,51450,5535,61973,7906,72281,8242,36552,8207,67372,6184,80081,9104,N,N,42347,4563,25.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X)
1600000US4164900,"Salem city, Oregon",64191,2455,39937,1928,26863,2309,24254,2845,6,1.7,4.2,1.9,0.4,0.4,9.3,3.3,5.6,1.9,3.1,1.5,0.2,0.3,10.5,4,9.8,1.9,9,2.7,8,3.7,13.1,3.3,10.6,2.7,8.7,2.4,4.4,2.1,15.2,5,15.7,2.2,13.7,3,12.1,3.4,17.5,4.4,18.4,2.9,19.9,3.9,22.5,5,15.6,3.4,12,2.4,12.4,2.7,14.6,3.1,9.3,3.8,14.8,2,18.7,3.3,24.6,4.1,7.8,3.2,4,1,5.8,1.5,7.9,2.5,0.6,0.8,3.2,1.1,4.5,1.6,5.4,2,1.1,1,52152,3434,62670,6084,81106,9692,36286,3960,73345,6288,82201,7486,N,N,55443,12315,25.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),28,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21,(X)
1600000US4804462,"Atascocita CDP, Texas",25094,2500,21107,2464,N,N,N,N,1.7,1.9,0.5,0.8,N,N,N,N,2.1,2.7,1.9,3.1,N,N,N,N,4,1.8,1.6,1.1,N,N,N,N,3,1.9,2.6,2,N,N,N,N,8.3,5.2,9.1,6,N,N,N,N,13,3.6,15.2,5.3,N,N,N,N,15.9,4.7,15.9,5.2,N,N,N,N,28.7,6.7,26.2,7,N,N,N,N,9.8,4.4,11.4,5.1,N,N,N,N,13.5,6.1,15.7,7.2,N,N,N,N,102594,8286,103311,9462,118001,12177,56212,13642,122098,15748,129209,18771,N,N,N,N,41.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),44.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.1,(X)
1600000US4805000,"Austin city, Texas",390395,6082,206386,4937,150631,5356,184009,5991,5.7,0.7,3.7,0.9,1,0.6,8.6,1.1,3.1,0.5,2,0.6,1.5,0.6,4.4,0.9,6.7,0.7,5,1,3.3,1.1,8.8,1.1,7.1,0.8,6.3,1.1,4.6,1.1,8.3,1.2,11.9,0.9,9.1,1.3,6.9,1.2,15.3,1.5,17.5,1.3,15.1,1.5,12.5,1.6,20.8,1.8,11.4,0.8,11,1.2,11.4,1.4,11.3,1.3,17,1.1,20.4,1.4,23.3,1.6,12.5,1.6,8,0.8,11.3,1.2,14.6,1.6,4.1,0.9,11.7,0.8,16.2,1.2,20.9,1.7,5.9,1,71543,2032,93491,4408,115234,6113,54979,2329,104191,3265,127110,5305,149769,6731,74881,3300,34.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.3,(X)
1600000US4850820,"New Braunfels city, Texas",29781,1797,20766,1619,N,N,9015,1754,2.4,1.2,1.2,1,N,N,5,2.8,4.5,2,3.7,2.1,N,N,9.4,4.9,5.8,2.6,4.2,2.4,N,N,10.2,7.2,6.1,2,5.5,2.3,N,N,6.6,4.3,14.1,3.4,10.7,3.2,N,N,24.2,8.4,20.1,3.8,19.8,4.9,N,N,22.9,7.2,16.4,3.7,15.6,3.7,N,N,13,7.2,17.8,4.2,22,5.5,N,N,7.1,3.7,6.3,2.5,8.2,3.4,N,N,1,1.7,6.6,2.3,9.2,3.1,N,N,0.5,0.9,73023,4544,82828,8425,95722,7098,43993,7118,94034,9762,110017,12885,N,N,53146,6423,27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.7,(X)
1600000US4970850,"South Jordan city, Utah",21252,1308,17168,1135,N,N,N,N,2,1.9,0.3,0.5,N,N,N,N,0,0.7,0,0.9,N,N,N,N,3.4,2.4,0.6,0.7,N,N,N,N,3,1.8,2,1.4,N,N,N,N,5.9,2.6,4,2.1,N,N,N,N,14,4,11.5,4.4,N,N,N,N,18.7,5.1,21.8,5.9,N,N,N,N,28,6.8,30.7,6.9,N,N,N,N,11.2,3.2,12.3,3.8,N,N,N,N,13.8,3.4,16.7,4.3,N,N,N,N,101374,4892,106410,8203,111817,12183,52273,22021,129929,12020,145825,14161,N,N,N,N,24.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.4,(X)
1600000US5566000,"Racine city, Wisconsin",30158,1582,17773,1325,N,N,12385,1652,10.5,3,8.2,3.7,N,N,15.9,4.5,5,2.1,3,2.1,N,N,8.3,4,13.7,3.4,9.7,3.5,N,N,19.7,6.1,13.1,3.3,11.8,4.6,N,N,17,5.3,14.4,3.4,17.4,5.5,N,N,11.2,3.9,17.9,3.4,18.4,5.1,N,N,18.3,5.4,11.5,2.8,14.3,4.6,N,N,5.8,3.3,10.5,2.5,12.9,3.9,N,N,2.3,1.6,2.3,1,3.1,1.8,N,N,0.6,1,1.1,0.8,1.2,1.2,N,N,0.9,1.1,42761,4680,49910,6961,75524,7800,27475,3287,54370,3931,61336,5603,N,N,37611,4543,31.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.3,(X)
1600000US0103076,"Auburn city, Alabama",23305,1912,13069,1358,N,N,10236,1706,19.8,5.2,3.5,3.2,N,N,40.5,10.9,4.5,2.3,1.8,1.8,N,N,7.9,4.5,11.8,3.5,6.5,3.3,N,N,18.6,7.4,8.2,3.1,6.6,4.2,N,N,10.2,4.7,7.3,2.9,8.1,4.2,N,N,6.2,3.8,9.2,3,10.3,3.7,N,N,7.8,4.8,12,3.5,18.4,6.1,N,N,3.9,2.9,12.9,3.1,21.1,5.3,N,N,2.6,2.3,6.1,2.1,10,3.8,N,N,1.1,1,8.3,3.4,13.8,5.7,N,N,1.4,1.7,46436,11681,91368,9045,101195,11100,16061,6259,81370,11570,120650,18096,N,N,31219,11070,27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X)
1600000US0404720,"Avondale city, Arizona",27840,1624,20173,1139,N,N,7667,1547,4.8,1.7,2.9,1.7,N,N,9.7,4.4,2.7,1.5,2.1,1.3,N,N,5.2,4.4,6.7,2.7,4.2,1.9,N,N,17.3,8,8.8,2.9,7.6,3.1,N,N,11.9,6.6,15,3.7,12.8,3.9,N,N,23,8.5,17.7,3.5,21.2,4.3,N,N,14.1,6,16.7,2.9,16.1,3.5,N,N,12.1,6.6,17.2,3.4,20.4,4.4,N,N,6.1,5.6,5.9,2.5,7.1,3.1,N,N,0,2.4,4.5,3,5.5,4,N,N,0.6,1.1,63242,7876,72284,8481,93252,8900,36938,6343,77361,6287,86352,8050,N,N,44094,6764,37.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
