,NAME,state,place,H002002,H002001,% Urban
179,"Willow Creek CDP, Montana",30,80800,0,120,0
180,"Prescott city, Arizona",4,57380,20114,22159,0.907712442
181,"Queen Valley CDP, Arizona",4,58290,0,621,0
182,"Prescott Valley town, Arizona",4,57450,16639,17494,0.9511261
183,"Quartzsite town, Arizona",4,58010,3114,3378,0.921847247
184,"Queen Creek town, Arizona",4,58150,8350,8557,0.975809279
185,"Rainbow City CDP, Arizona",4,58620,148,226,0.654867257
186,"Rancho Mesa Verde CDP, Arizona",4,58870,162,162,1
187,"Red Mesa CDP, Arizona",4,59550,0,202,0
188,"Red Rock CDP (Apache County), Arizona",4,59760,0,64,0
189,"Red Rock CDP (Pinal County), Arizona",4,59770,0,786,0
190,"Rillito CDP, Arizona",4,59900,0,50,0
191,"Rincon Valley CDP, Arizona",4,60120,1054,2044,0.515655577
192,"Rio Rico CDP, Arizona",4,60180,4434,6356,0.697608559
193,"Roosevelt CDP, Arizona",4,61300,0,43,0
194,"Rio Verde CDP, Arizona",4,60250,0,1647,0
195,"Rock House CDP, Arizona",4,60770,0,42,0
196,"Rock Point CDP, Arizona",4,60880,0,205,0
197,"Rough Rock CDP, Arizona",4,61370,0,160,0
198,"Round Rock CDP, Arizona",4,61440,0,260,0
199,"Round Valley CDP, Arizona",4,61448,0,227,0
200,"Rye CDP, Arizona",4,61690,0,63,0
201,"Sacate Village CDP, Arizona",4,61715,0,50,0
202,"Sacaton CDP, Arizona",4,61720,0,671,0
203,"Sacaton Flats Village CDP, Arizona",4,61800,0,168,0
204,"Sahuarita town, Arizona",4,62140,8293,10615,0.781252944
205,"Saddlebrooke CDP, Arizona",4,61940,5129,5671,0.904426027
206,"St. Johns city, Arizona",4,62350,1118,1476,0.757452575
207,"Safford city, Arizona",4,62000,3871,3908,0.990532242
208,"St. David CDP, Arizona",4,62280,0,804,0
209,"St. Johns CDP, Arizona",4,62362,0,139,0
210,"St. Michaels CDP, Arizona",4,62420,287,518,0.554054054
211,"Salome CDP, Arizona",4,62700,0,1078,0
212,"San Carlos CDP, Arizona",4,62910,737,998,0.738476954
213,"Sanders CDP, Arizona",4,63050,0,242,0
214,"San Jose CDP, Arizona",4,63260,0,211,0
215,"Cambria CDP, California",6,10074,3971,4062,0.977597243
216,"Camanche North Shore CDP, California",6,10042,0,480,0
217,"Camanche Village CDP, California",6,10044,0,344,0
218,"Camarillo city, California",6,10046,25491,25702,0.991790522
219,"Cambrian Park CDP, California",6,10088,1179,1179,1
220,"Cameron Park CDP, California",6,10256,7179,7610,0.943363995
221,"Camino CDP, California",6,10270,712,810,0.879012346
222,"Camino Tassajara CDP, California",6,10301,642,642,1
223,"Campbell city, California",6,10345,16950,16950,1
224,"Camp Nelson CDP, California",6,10494,0,383,0
225,"Campo CDP, California",6,10508,0,1105,0
226,"Camp Pendleton North CDP, California",6,10559,1175,1259,0.933280381
227,"Cantua Creek CDP, California",6,10816,0,128,0
228,"Camp Pendleton South CDP, California",6,10561,2865,2865,1
229,"Camptonville CDP, California",6,10676,0,81,0
230,"Canby CDP, California",6,10732,0,76,0
231,"Canyondam CDP, California",6,10914,0,27,0
232,"Canyon Lake city, California",6,10928,4514,4532,0.996028244
233,"Capitola city, California",6,11040,5534,5534,1
234,"Caribou CDP, California",6,11166,0,1,0
235,"Carlsbad city, California",6,11194,44673,44673,1
236,"Carmel-by-the-Sea city, California",6,11250,3417,3417,1
237,"Carmel Valley Village CDP, California",6,11324,1038,2156,0.481447124
238,"Carpinteria city, California",6,11446,5429,5429,1
239,"Carmet CDP, California",6,11376,0,68,0
240,"Carmichael CDP, California",6,11390,28165,28165,1
241,"Carnelian Bay CDP, California",6,11418,752,947,0.794086589
242,"Carrick CDP, California",6,11481,0,65,0
243,"Carson city, California",6,11530,26226,26226,1
244,"Cartago CDP, California",6,11600,0,55,0
245,"Caruthers CDP, California",6,11614,0,680,0
246,"Stewart Manor village, New York",36,71267,711,711,1
247,"Stillwater village, New York",36,71322,739,740,0.998648649
248,"Stone Ridge CDP, New York",36,71597,0,545,0
249,"Stony Brook CDP, New York",36,71608,5037,5042,0.99900833
250,"Washington city, North Carolina",37,71220,4429,4754,0.931636517
251,"Washington Park town, North Carolina",37,71240,220,220,1
252,"Watha town, North Carolina",37,71320,0,86,0
253,"Waves CDP, North Carolina",37,71440,0,320,0
254,"Waxhaw town, North Carolina",37,71460,3417,3517,0.971566676
255,"Waynesville town, North Carolina",37,71500,5176,5534,0.935308999
256,"Welcome CDP, North Carolina",37,71760,1477,1855,0.796226415
257,"Weaverville town, North Carolina",37,71560,1425,1582,0.900758534
258,"Webster town, North Carolina",37,71600,30,175,0.171428571
259,"Weddington town, North Carolina",37,71680,2784,3285,0.847488584
260,"Weldon town, North Carolina",37,71780,620,809,0.766378245
261,"Wendell town, North Carolina",37,71860,2384,2430,0.981069959
262,"Wentworth town, North Carolina",37,71900,0,1138,0
263,"Wesley Chapel village, North Carolina",37,71940,2215,2359,0.938957185
264,"West Canton CDP, North Carolina",37,72150,504,558,0.903225806
265,"West Jefferson town, North Carolina",37,72540,696,751,0.926764314
266,"Whitakers town, North Carolina",37,73160,0,372,0
267,"West Marion CDP, North Carolina",37,72600,643,643,1
268,"Westport CDP, North Carolina",37,72755,1503,1671,0.8994614
269,"Whispering Pines village, North Carolina",37,73140,1298,1365,0.950915751
270,"White Lake town, North Carolina",37,73300,0,1443,0
271,"White Oak CDP, North Carolina",37,73320,0,161,0
272,"White Plains CDP, North Carolina",37,73460,0,490,0
273,"Whiteville city, North Carolina",37,73660,2540,2662,0.954169797
274,"Whitsett town, North Carolina",37,73760,10,279,0.035842294
275,"Wilkesboro town, North Carolina",37,74020,1564,1633,0.957746479
276,"Wilson's Mills town, North Carolina",37,74580,655,823,0.795868773
277,"Williamston town, North Carolina",37,74220,2593,2685,0.965735568
278,"Wilmington city, North Carolina",37,74440,53400,53400,1
279,"Wilson city, North Carolina",37,74540,21669,21870,0.990809328
280,"Windsor town, North Carolina",37,74680,1146,1193,0.960603521
281,"Winfall town, North Carolina",37,74720,0,302,0
282,"Wingate town, North Carolina",37,74760,1042,1046,0.996175908
283,"Winston-Salem city, North Carolina",37,75000,103881,103974,0.999105546
284,"Winterville town, North Carolina",37,75060,3582,3593,0.996938492
285,"Woodlawn CDP, North Carolina",37,75375,44,385,0.114285714
286,"Woodfin town, North Carolina",37,75280,2500,2698,0.926612305
287,"Winton town, North Carolina",37,75080,0,393,0
288,"Woodland town, North Carolina",37,75340,0,364,0
289,"Wrightsboro CDP, North Carolina",37,75780,1816,2111,0.860255803
290,"Wrightsville Beach town, North Carolina",37,75820,2751,2751,1
291,"Yadkinville town, North Carolina",37,75960,1208,1235,0.978137652
292,"Yanceyville town, North Carolina",37,76000,0,748,0
293,"Youngsville town, North Carolina",37,76200,523,562,0.930604982
294,"Zebulon town, North Carolina",37,76220,1770,1862,0.950590763
295,"Alamo city, North Dakota",38,940,0,41,0
296,"Alsen city, North Dakota",38,1740,0,28,0
297,"Ardoch city, North Dakota",38,2860,0,39,0
298,"Ayr city, North Dakota",38,4020,0,10,0
299,"Abercrombie city, North Dakota",38,100,0,121,0
300,"Adams city, North Dakota",38,340,0,98,0
301,"Ashley city, North Dakota",38,3540,0,520,0
302,"Alexander city, North Dakota",38,1180,0,120,0
303,"Ambrose city, North Dakota",38,1860,0,29,0
304,"Aneta city, North Dakota",38,2380,0,142,0
305,"Arnegard city, North Dakota",38,3220,0,59,0
306,"Alice city, North Dakota",38,1420,0,21,0
307,"Hooven CDP, Ohio",39,36232,110,211,0.521327014
308,"Hopedale village, Ohio",39,36260,0,401,0
309,"Howard CDP, Ohio",39,36512,100,116,0.862068966
310,"Valparaiso city, Florida",12,73675,1930,1939,0.995358432
311,"Valrico CDP, Florida",12,73700,13668,13668,1
312,"Vamo CDP, Florida",12,73725,3401,3401,1
313,"Venice city, Florida",12,73900,16238,17328,0.93709603
314,"Venice Gardens CDP, Florida",12,73950,3956,3956,1
315,"Verona Walk CDP, Florida",12,74235,1357,1357,1
316,"Vernon city, Florida",12,74125,0,360,0
317,"Vero Beach city, Florida",12,74150,10258,10258,1
318,"Vero Beach South CDP, Florida",12,74200,11618,11618,1
319,"Viera East CDP, Florida",12,74368,4990,4990,1
320,"Viera West CDP, Florida",12,74370,2686,3020,0.889403974
321,"Villano Beach CDP, Florida",12,74498,1474,1588,0.928211587
322,"Villas CDP, Florida",12,74512,7922,7922,1
323,"Vineyards CDP, Florida",12,74562,2626,2626,1
324,"Virginia Gardens village, Florida",12,74575,949,949,1
325,"Wabasso CDP, Florida",12,74625,302,379,0.796833773
326,"Wabasso Beach CDP, Florida",12,74635,1522,1522,1
327,"Ashton city, Idaho",16,3610,0,451,0
328,"Banks CDP, Idaho",16,4600,0,20,0
329,"Basalt city, Idaho",16,5230,0,142,0
330,"Bellevue city, Idaho",16,6220,851,926,0.919006479
331,"Bloomington city, Idaho",16,8560,0,120,0
332,"Bennington CDP, Idaho",16,6670,0,85,0
333,"Blackfoot city, Idaho",16,7840,4476,4547,0.984385309
334,"Bliss city, Idaho",16,8470,0,138,0
335,"Bonners Ferry city, Idaho",16,9370,1252,1254,0.998405104
336,"Buhl city, Idaho",16,10810,1725,1766,0.976783692
337,"Burley city, Idaho",16,11260,3847,3885,0.99021879
338,"Castleford city, Idaho",16,13240,0,103,0
339,"Butte City city, Idaho",16,11710,0,51,0
340,"Carey city, Idaho",16,12790,0,240,0
341,"Cascade city, Idaho",16,13150,0,847,0
342,"Challis city, Idaho",16,13780,0,598,0
343,"Chubbuck city, Idaho",16,14680,4960,4961,0.999798428
344,"Clark Fork city, Idaho",16,14950,0,308,0
345,"Bancroft city, Idaho",16,4420,0,163,0
346,"Bovill city, Idaho",16,9730,0,127,0
347,"Caldwell city, Idaho",16,12250,16269,16323,0.996691785
348,"Cambridge city, Idaho",16,12520,0,178,0
349,"Clayton city, Idaho",16,15490,0,18,0
350,"Blanchard CDP, Idaho",16,8290,0,407,0
351,"Boise City city, Idaho",16,8830,92335,92700,0.996062567
352,"Cottonwood city, Idaho",16,18640,0,392,0
353,"Conkling Park CDP, Idaho",16,17830,0,171,0
354,"Clifton city, Idaho",16,16120,0,88,0
355,"Coeur d'Alene city, Idaho",16,16750,20133,20219,0.995746575
356,"Council city, Idaho",16,18820,0,476,0
357,"Craigmont city, Idaho",16,19270,0,261,0
358,"Crouch city, Idaho",16,19720,0,90,0
359,"Culdesac city, Idaho",16,19900,0,176,0
360,"Dalton Gardens city, Idaho",16,20350,917,917,1
361,"Dayton city, Idaho",16,20710,0,144,0
362,"Declo city, Idaho",16,20980,0,127,0
363,"De Smet CDP, Idaho",16,21520,0,59,0
364,"Dietrich city, Idaho",16,21790,0,103,0
365,"Donnelly city, Idaho",16,22330,0,100,0
366,"Dover city, Idaho",16,22510,70,327,0.214067278
367,"Downey city, Idaho",16,22600,0,290,0
368,"Driggs city, Idaho",16,22690,0,873,0
369,"Drummond city, Idaho",16,22780,0,10,0
370,"Dubois city, Idaho",16,22960,0,265,0
371,"East Hope city, Idaho",16,23680,0,181,0
372,"Eden city, Idaho",16,24310,0,180,0
373,"Elk City CDP, Idaho",16,24940,0,187,0
374,"Elk River city, Idaho",16,25120,0,152,0
375,"Emmett city, Idaho",16,25570,2896,2916,0.993141289
376,"Fairfield city, Idaho",16,26290,0,244,0
377,"Ferdinand city, Idaho",16,27460,0,67,0
378,"Fernan Lake Village city, Idaho",16,27550,77,77,1
379,"Filer city, Idaho",16,27730,1001,1002,0.999001996
380,"Hopatcong borough, New Jersey",34,32910,6075,6296,0.964898348
381,"Iselin CDP, New Jersey",34,34470,6718,6718,1
382,"Hi-Nella borough, New Jersey",34,32220,420,420,1
383,"Hope CDP, New Jersey",34,33030,0,102,0
384,"Hopewell borough, New Jersey",34,33150,817,817,1
385,"Hutchinson CDP, New Jersey",34,33690,0,65,0
386,"Interlaken borough, New Jersey",34,34200,393,393,1
387,"Island Heights borough, New Jersey",34,34530,831,831,1
388,"Jamesburg borough, New Jersey",34,34890,2267,2267,1
389,"Jersey City city, New Jersey",34,36000,108720,108720,1
390,"Johnsonburg CDP, New Jersey",34,36150,0,45,0
391,"Juliustown CDP, New Jersey",34,36300,0,150,0
392,"Keansburg borough, New Jersey",34,36480,4318,4318,1
393,"Kenvil CDP, New Jersey",34,36720,1149,1149,1
394,"Kearny town, New Jersey",34,36510,14180,14180,1
395,"Kendall Park CDP, New Jersey",34,36660,3198,3198,1
396,"Kenilworth borough, New Jersey",34,36690,2924,2924,1
397,"Keyport borough, New Jersey",34,36810,3272,3272,1
398,"Kingston Estates CDP, New Jersey",34,36960,2553,2553,1
399,"Kinnelon borough, New Jersey",34,37110,2475,3600,0.6875
400,"Lake Como borough, New Jersey",34,37560,1115,1115,1
401,"Lakehurst borough, New Jersey",34,37770,943,943,1
402,"Laurel Lake CDP, New Jersey",34,39120,1216,1230,0.988617886
403,"Lake Mohawk CDP, New Jersey",34,38040,4100,4100,1
404,"Lake Telemark CDP, New Jersey",34,38430,310,464,0.668103448
405,"Lambertville city, New Jersey",34,38610,2075,2075,1
406,"Burdett village, New York",36,11132,0,166,0
407,"Brookville village, New York",36,10132,663,663,1
408,"Brocton village, New York",36,8488,0,656,0
409,"Bronxville village, New York",36,8532,2430,2430,1
410,"Buchanan village, New York",36,10341,863,863,1
411,"Brookhaven CDP, New York",36,9000,1268,1268,1
412,"Brownville village, New York",36,10231,455,462,0.984848485
413,"Brushton village, New York",36,10286,0,241,0
414,"Burke village, New York",36,11154,0,94,0
415,"Buffalo city, New York",36,11000,133444,133444,1
416,"Byersville CDP, New York",36,11550,0,24,0
417,"Calcium CDP, New York",36,11671,881,1469,0.599727706
418,"Callicoon CDP, New York",36,11748,0,133,0
419,"Calverton CDP, New York",36,11781,2325,3224,0.721153846
420,"Cambridge village, New York",36,11825,0,883,0
421,"Camillus village, New York",36,11902,612,612,1
422,"Campbell CDP, New York",36,11935,0,304,0
423,"Cape Vincent village, New York",36,12353,0,506,0
424,"Camden village, New York",36,11847,0,1059,0
425,"Busti CDP, New York",36,11440,0,155,0
426,"Cairo CDP, New York",36,11638,217,773,0.28072445
427,"Caledonia village, New York",36,11704,0,971,0
428,"Canandaigua city, New York",36,12144,5203,5203,1
429,"Candor village, New York",36,12210,0,355,0
430,"Canisteo village, New York",36,12254,0,987,0
431,"Carle Place CDP, New York",36,12419,1932,1932,1
432,"Carmel Hamlet CDP, New York",36,12532,2465,2490,0.989959839
433,"Canajoharie village, New York",36,12111,1022,1037,0.985535198
434,"Canaseraga village, New York",36,12177,0,248,0
435,"Canastota village, New York",36,12188,1968,2099,0.937589328
436,"Canton village, New York",36,12331,1745,1808,0.965154867
437,"Caroga Lake CDP, New York",36,12584,0,899,0
438,"Carthage village, New York",36,12683,1577,1616,0.975866337
439,"Cassadaga village, New York",36,12749,0,340,0
440,"Castile village, New York",36,12771,0,453,0
441,"Castleton-on-Hudson village, New York",36,12870,619,619,1
442,"Castorland village, New York",36,12881,0,137,0
443,"Catskill village, New York",36,13002,1951,2029,0.961557417
444,"Centereach CDP, New York",36,13376,10408,10408,1
445,"Johnson Creek village, Wisconsin",55,38350,1104,1118,0.987477639
446,"Jump River CDP, Wisconsin",55,38625,0,43,0
447,"Junction City village, Wisconsin",55,38650,0,211,0
448,"Kennan village, Wisconsin",55,39175,0,81,0
449,"Juda CDP, Wisconsin",55,38600,0,144,0
450,"Juneau city, Wisconsin",55,38675,891,924,0.964285714
451,"Kaukauna city, Wisconsin",55,38800,6456,6596,0.978775015
452,"Kekoskee village, Wisconsin",55,38900,0,73,0
453,"Jim Falls CDP, Wisconsin",55,38225,0,116,0
454,"Kellnersville village, Wisconsin",55,39000,0,172,0
455,"Kendall village, Wisconsin",55,39150,0,233,0
456,"Kenosha city, Wisconsin",55,39225,40617,40643,0.999360283
457,"Keshena CDP, Wisconsin",55,39250,0,371,0
458,"Kewaskum village, Wisconsin",55,39300,1688,1698,0.994110718
459,"Kewaunee city, Wisconsin",55,39350,1287,1462,0.880300958
460,"Kiel city, Wisconsin",55,39525,1673,1697,0.985857395
461,"Kieler CDP, Wisconsin",55,39550,0,212,0
462,"Kimberly village, Wisconsin",55,39650,2871,2871,1
463,"Knowlton CDP, Wisconsin",55,40125,0,62,0
464,"King CDP, Wisconsin",55,39700,354,507,0.698224852
465,"Kingston village, Wisconsin",55,39750,0,148,0
466,"Kohler village, Wisconsin",55,40275,823,871,0.94489093
467,"Krakow CDP, Wisconsin",55,40450,0,161,0
468,"Kronenwetter village, Wisconsin",55,40550,2160,2810,0.768683274
469,"Lac du Flambeau CDP, Wisconsin",55,40675,0,861,0
470,"Lac La Belle village, Wisconsin",55,40750,123,135,0.911111111
471,"La Crosse city, Wisconsin",55,40775,22622,22628,0.999734842
472,"Lake Hallie village, Wisconsin",55,41525,2448,2554,0.958496476
473,"Knapp village, Wisconsin",55,39975,0,230,0
474,"Ladysmith city, Wisconsin",55,40850,1621,1667,0.972405519
475,"La Farge village, Wisconsin",55,40875,0,375,0
476,"Lake Arrowhead CDP, Wisconsin",55,41160,0,859,0
477,"Lake Camelot CDP, Wisconsin",55,41210,0,1237,0
478,"Lake Delton village, Wisconsin",55,41300,2061,2343,0.879641485
479,"Lake Geneva city, Wisconsin",55,41450,4176,4225,0.988402367
480,"Lake Ivanhoe CDP, Wisconsin",55,41560,0,157,0
481,"Lake Koshkonong CDP, Wisconsin",55,41583,50,833,0.06002401
482,"Lake Lorraine CDP, Wisconsin",55,41645,0,194,0
483,"Lake Mills city, Wisconsin",55,41675,2634,2776,0.948847262
484,"Lake Nebagamon village, Wisconsin",55,41725,0,775,0
485,"Lake Ripley CDP, Wisconsin",55,41765,805,1030,0.781553398
