GEO_ID,NAME,P001001
id,Geographic Area Name,Total
1600000US2935468,"Ironton city, Missouri",1460
1600000US2935486,"Irwin CDP, Missouri",69
1600000US2936224,"Jacksonville village, Missouri",151
1600000US2936314,"Jameson town, Missouri",133
1600000US2936332,"Jamesport city, Missouri",524
1600000US2936368,"Jamestown town, Missouri",386
1600000US2936512,"Jasper city, Missouri",931
1600000US2937000,"Jefferson City city, Missouri",43079
1600000US2937700,"Josephville village, Missouri",376
1600000US2937178,"Jennings city, Missouri",14712
1600000US2937214,"Jerico Springs village, Missouri",228
1600000US2937592,"Joplin city, Missouri",50150
1600000US2937736,"Junction City village, Missouri",327
1600000US2937790,"Kahoka city, Missouri",2078
1600000US2938000,"Kansas City city, Missouri",459787
1600000US2938072,"Kearney city, Missouri",8381
1600000US2938216,"Kelso village, Missouri",586
1600000US3073975,"Three Forks city, Montana",1869
1600000US3074500,"Toston CDP, Montana",108
1600000US3074575,"Townsend city, Montana",1878
1600000US3074725,"Trego CDP, Montana",541
1600000US3074950,"Trout Creek CDP, Montana",242
1600000US3075025,"Troy city, Montana",938
1600000US3075175,"Turah CDP, Montana",306
1600000US3075250,"Turner CDP, Montana",61
1600000US3075287,"Turtle Lake CDP, Montana",209
1600000US3076675,"Vaughn CDP, Montana",658
1600000US3075475,"Twin Bridges town, Montana",375
1600000US3075775,"Ulm CDP, Montana",738
1600000US3076225,"Valier town, Montana",509
1600000US3076900,"Victor CDP, Montana",745
1600000US3077125,"Virginia City town, Montana",190
1600000US3077650,"Walkerville town, Montana",675
1600000US3078775,"Weeksville CDP, Montana",83
1600000US3078925,"Westby town, Montana",168
1600000US3079075,"West Glacier CDP, Montana",227
1600000US3079525,"West Yellowstone town, Montana",1271
1600000US3079086,"West Glendive CDP, Montana",1948
1600000US3079098,"West Havre CDP, Montana",316
1600000US3079105,"West Kootenai CDP, Montana",365
1600000US3079695,"Wheatland CDP, Montana",568
1600000US3079825,"Whitefish city, Montana",6357
1600000US3079900,"Whitehall town, Montana",1038
1600000US3079935,"White Haven CDP, Montana",577
1600000US3080050,"White Sulphur Springs city, Montana",939
1600000US3080200,"Whitewater CDP, Montana",64
1600000US3080350,"Wibaux town, Montana",589
1600000US3080800,"Willow Creek CDP, Montana",210
1600000US0457380,"Prescott city, Arizona",39843
1600000US0458290,"Queen Valley CDP, Arizona",788
1600000US0457450,"Prescott Valley town, Arizona",38822
1600000US0458010,"Quartzsite town, Arizona",3677
