,PCT023003,NAME,state,place
139,33599,"Jefferson City city, Missouri",29,37000
140,363,"Josephville village, Missouri",29,37700
141,1256,"Jennings city, Missouri",29,37178
142,220,"Jerico Springs village, Missouri",29,37214
143,43954,"Joplin city, Missouri",29,37592
144,317,"Junction City village, Missouri",29,37736
145,2046,"Kahoka city, Missouri",29,37790
146,272305,"Kansas City city, Missouri",29,38000
147,8061,"Kearney city, Missouri",29,38072
148,578,"Kelso village, Missouri",29,38216
149,1833,"Three Forks city, Montana",30,73975
150,100,"Toston CDP, Montana",30,74500
151,1794,"Townsend city, Montana",30,74575
152,531,"Trego CDP, Montana",30,74725
153,229,"Trout Creek CDP, Montana",30,74950
154,885,"Troy city, Montana",30,75025
155,287,"Turah CDP, Montana",30,75175
156,56,"Turner CDP, Montana",30,75250
157,40,"Turtle Lake CDP, Montana",30,75287
158,597,"Vaughn CDP, Montana",30,76675
159,360,"Twin Bridges town, Montana",30,75475
160,689,"Ulm CDP, Montana",30,75775
161,445,"Valier town, Montana",30,76225
162,702,"Victor CDP, Montana",30,76900
163,174,"Virginia City town, Montana",30,77125
164,629,"Walkerville town, Montana",30,77650
165,81,"Weeksville CDP, Montana",30,78775
166,161,"Westby town, Montana",30,78925
167,226,"West Glacier CDP, Montana",30,79075
168,1101,"West Yellowstone town, Montana",30,79525
169,1874,"West Glendive CDP, Montana",30,79086
170,289,"West Havre CDP, Montana",30,79098
171,355,"West Kootenai CDP, Montana",30,79105
172,558,"Wheatland CDP, Montana",30,79695
173,6093,"Whitefish city, Montana",30,79825
174,976,"Whitehall town, Montana",30,79900
175,550,"White Haven CDP, Montana",30,79935
176,913,"White Sulphur Springs city, Montana",30,80050
177,48,"Whitewater CDP, Montana",30,80200
178,568,"Wibaux town, Montana",30,80350
179,199,"Willow Creek CDP, Montana",30,80800
180,36713,"Prescott city, Arizona",04,57380
181,737,"Queen Valley CDP, Arizona",04,58290
182,34187,"Prescott Valley town, Arizona",04,57450
183,3403,"Quartzsite town, Arizona",04,58010
184,22043,"Queen Creek town, Arizona",04,58150
185,7,"Rainbow City CDP, Arizona",04,58620
186,399,"Rancho Mesa Verde CDP, Arizona",04,58870
187,44,"Red Mesa CDP, Arizona",04,59550
188,2,"Red Rock CDP (Apache County), Arizona",04,59760
189,1757,"Red Rock CDP (Pinal County), Arizona",04,59770
190,27,"Rillito CDP, Arizona",04,59900
191,4671,"Rincon Valley CDP, Arizona",04,60120
192,13472,"Rio Rico CDP, Arizona",04,60180
193,27,"Roosevelt CDP, Arizona",04,61300
194,1796,"Rio Verde CDP, Arizona",04,60250
195,48,"Rock House CDP, Arizona",04,60770
196,5,"Rock Point CDP, Arizona",04,60880
197,9,"Rough Rock CDP, Arizona",04,61370
198,1,"Round Rock CDP, Arizona",04,61440
199,459,"Round Valley CDP, Arizona",04,61448
200,73,"Rye CDP, Arizona",04,61690
201,3,"Sacate Village CDP, Arizona",04,61715
202,47,"Sacaton CDP, Arizona",04,61720
203,7,"Sacaton Flats Village CDP, Arizona",04,61800
204,20280,"Sahuarita town, Arizona",04,62140
205,9211,"Saddlebrooke CDP, Arizona",04,61940
206,2875,"St. Johns city, Arizona",04,62350
207,7789,"Safford city, Arizona",04,62000
208,1565,"St. David CDP, Arizona",04,62280
209,14,"St. Johns CDP, Arizona",04,62362
210,113,"St. Michaels CDP, Arizona",04,62420
211,1356,"Salome CDP, Arizona",04,62700
212,71,"San Carlos CDP, Arizona",04,62910
213,143,"Sanders CDP, Arizona",04,63050
214,384,"San Jose CDP, Arizona",04,63260
215,5166,"Cambria CDP, California",06,10074
216,860,"Camanche North Shore CDP, California",06,10042
217,762,"Camanche Village CDP, California",06,10044
218,48947,"Camarillo city, California",06,10046
219,2598,"Cambrian Park CDP, California",06,10088
220,16242,"Cameron Park CDP, California",06,10256
221,1604,"Camino CDP, California",06,10270
222,876,"Camino Tassajara CDP, California",06,10301
223,26315,"Campbell city, California",06,10345
224,94,"Camp Nelson CDP, California",06,10494
225,2083,"Campo CDP, California",06,10508
226,3730,"Camp Pendleton North CDP, California",06,10559
227,244,"Cantua Creek CDP, California",06,10816
228,7530,"Camp Pendleton South CDP, California",06,10561
229,117,"Camptonville CDP, California",06,10676
230,292,"Canby CDP, California",06,10732
231,26,"Canyondam CDP, California",06,10914
232,9495,"Canyon Lake city, California",06,10928
233,7963,"Capitola city, California",06,11040
234,0,"Caribou CDP, California",06,11166
235,87205,"Carlsbad city, California",06,11194
236,3464,"Carmel-by-the-Sea city, California",06,11250
237,4044,"Carmel Valley Village CDP, California",06,11324
238,9348,"Carpinteria city, California",06,11446
239,43,"Carmet CDP, California",06,11376
240,49776,"Carmichael CDP, California",06,11390
241,493,"Carnelian Bay CDP, California",06,11418
242,110,"Carrick CDP, California",06,11481
243,21864,"Carson city, California",06,11530
244,63,"Cartago CDP, California",06,11600
245,1224,"Caruthers CDP, California",06,11614
246,1715,"Stewart Manor village, New York",36,71267
247,1683,"Stillwater village, New York",36,71322
248,1079,"Stone Ridge CDP, New York",36,71597
249,12171,"Stony Brook CDP, New York",36,71608
250,4778,"Washington city, North Carolina",37,71220
251,436,"Washington Park town, North Carolina",37,71240
252,161,"Watha town, North Carolina",37,71320
253,126,"Waves CDP, North Carolina",37,71440
254,8090,"Waxhaw town, North Carolina",37,71460
255,9117,"Waynesville town, North Carolina",37,71500
256,3837,"Welcome CDP, North Carolina",37,71760
257,2969,"Weaverville town, North Carolina",37,71560
258,344,"Webster town, North Carolina",37,71600
259,8628,"Weddington town, North Carolina",37,71680
260,420,"Weldon town, North Carolina",37,71780
261,3395,"Wendell town, North Carolina",37,71860
262,2317,"Wentworth town, North Carolina",37,71900
263,6772,"Wesley Chapel village, North Carolina",37,71940
264,1220,"West Canton CDP, North Carolina",37,72150
265,1207,"West Jefferson town, North Carolina",37,72540
266,190,"Whitakers town, North Carolina",37,73160
267,1247,"West Marion CDP, North Carolina",37,72600
268,3827,"Westport CDP, North Carolina",37,72755
269,2796,"Whispering Pines village, North Carolina",37,73140
270,696,"White Lake town, North Carolina",37,73300
271,197,"White Oak CDP, North Carolina",37,73320
272,1010,"White Plains CDP, North Carolina",37,73460
273,2872,"Whiteville city, North Carolina",37,73660
274,537,"Whitsett town, North Carolina",37,73760
275,2782,"Wilkesboro town, North Carolina",37,74020
276,1297,"Wilson's Mills town, North Carolina",37,74580
277,1907,"Williamston town, North Carolina",37,74220
278,78286,"Wilmington city, North Carolina",37,74440
279,21090,"Wilson city, North Carolina",37,74540
280,1190,"Windsor town, North Carolina",37,74680
281,340,"Winfall town, North Carolina",37,74720
282,2115,"Wingate town, North Carolina",37,74760
283,117600,"Winston-Salem city, North Carolina",37,75000
284,5825,"Winterville town, North Carolina",37,75060
285,675,"Woodlawn CDP, North Carolina",37,75375
286,5346,"Woodfin town, North Carolina",37,75280
287,199,"Winton town, North Carolina",37,75080
288,398,"Woodland town, North Carolina",37,75340
289,2934,"Wrightsboro CDP, North Carolina",37,75780
290,2425,"Wrightsville Beach town, North Carolina",37,75820
291,2192,"Yadkinville town, North Carolina",37,75960
292,800,"Yanceyville town, North Carolina",37,76000
293,802,"Youngsville town, North Carolina",37,76200
294,2099,"Zebulon town, North Carolina",37,76220
295,49,"Alamo city, North Dakota",38,00940
296,35,"Alsen city, North Dakota",38,01740
297,61,"Ardoch city, North Dakota",38,02860
298,17,"Ayr city, North Dakota",38,04020
299,259,"Abercrombie city, North Dakota",38,00100
300,121,"Adams city, North Dakota",38,00340
301,729,"Ashley city, North Dakota",38,03540
302,204,"Alexander city, North Dakota",38,01180
303,26,"Ambrose city, North Dakota",38,01860
304,215,"Aneta city, North Dakota",38,02380
305,112,"Arnegard city, North Dakota",38,03220
306,40,"Alice city, North Dakota",38,01420
307,495,"Hooven CDP, Ohio",39,36232
308,922,"Hopedale village, Ohio",39,36260
309,238,"Howard CDP, Ohio",39,36512
310,4260,"Valparaiso city, Florida",12,73675
